date,open,high,low,close,volume,name
2021-01-01,0.1854,0.1967,0.1835,0.1933,1099168.53,ONGUSDT
2021-01-02,0.1938,0.222,0.192,0.2049,8338617.12,ONGUSDT
2021-01-03,0.2048,0.2145,0.1899,0.2025,2320230.7,ONGUSDT
2021-01-04,0.2036,0.208,0.1706,0.1908,3679837.13,ONGUSDT
2021-01-05,0.1908,0.1991,0.18,0.1981,1577335.5,ONGUSDT
2021-01-06,0.1976,0.2173,0.1919,0.2088,2912808.16,ONGUSDT
2021-01-07,0.2089,0.2616,0.204,0.2262,7795089.74,ONGUSDT
2021-01-08,0.2263,0.2373,0.1962,0.2178,3454165.82,ONGUSDT
2021-01-09,0.2189,0.2488,0.2051,0.2313,9229471.18,ONGUSDT
2021-01-10,0.2318,0.2633,0.203,0.2312,6290171.43,ONGUSDT
2021-01-11,0.2323,0.2514,0.1892,0.2383,13613486.12,ONGUSDT
2021-01-12,0.2382,0.2385,0.209,0.2182,6094421.57,ONGUSDT
2021-01-13,0.2173,0.2312,0.1961,0.2255,2529859.75,ONGUSDT
2021-01-14,0.2256,0.233,0.219,0.2278,2065245.13,ONGUSDT
2021-01-15,0.2281,0.2389,0.2051,0.2247,2693522.62,ONGUSDT
2021-01-16,0.2242,0.2358,0.2184,0.2294,2040408.8,ONGUSDT
2021-01-17,0.2292,0.249,0.215,0.233,2663276.37,ONGUSDT
2021-01-18,0.233,0.2497,0.2219,0.2435,4988811.74,ONGUSDT
2021-01-19,0.2436,0.2488,0.2337,0.2389,2789338.58,ONGUSDT
2021-01-20,0.2388,0.2399,0.2157,0.2312,2539644.31,ONGUSDT
2021-01-21,0.2308,0.2319,0.1994,0.2016,2235985.9,ONGUSDT
2021-01-22,0.2004,0.22,0.1831,0.2105,2602531.77,ONGUSDT
2021-01-23,0.2104,0.2214,0.199,0.2167,2389126.22,ONGUSDT
2021-01-24,0.2167,0.2335,0.2145,0.2234,2683846.03,ONGUSDT
2021-01-25,0.2235,0.2257,0.2155,0.2162,1607106.58,ONGUSDT
2021-01-26,0.2161,0.2187,0.2053,0.2159,1227608.61,ONGUSDT
2021-01-27,0.2163,0.2328,0.1871,0.1954,2410447.69,ONGUSDT
2021-01-28,0.1945,0.2149,0.1911,0.2097,1797078.45,ONGUSDT
2021-01-29,0.2098,0.223,0.202,0.2114,2777000.19,ONGUSDT
2021-01-30,0.2105,0.2189,0.202,0.2089,3695208.0,ONGUSDT
2021-01-31,0.2087,0.2102,0.1947,0.2027,2179040.3,ONGUSDT
2021-02-01,0.2027,0.207,0.198,0.2036,2048352.65,ONGUSDT
2021-02-02,0.2028,0.2147,0.2016,0.2112,2943540.97,ONGUSDT
2021-02-03,0.2111,0.2435,0.2107,0.2283,5763588.12,ONGUSDT
2021-02-04,0.2273,0.2309,0.213,0.2251,3701732.58,ONGUSDT
2021-02-05,0.2251,0.249,0.2208,0.2479,6295443.31,ONGUSDT
2021-02-06,0.2479,0.297,0.2327,0.2597,12176476.02,ONGUSDT
2021-02-07,0.2602,0.263,0.2305,0.2483,6325988.05,ONGUSDT
2021-02-08,0.2487,0.2683,0.2365,0.2655,6270789.7,ONGUSDT
2021-02-09,0.2663,0.2864,0.2591,0.285,7962494.05,ONGUSDT
2021-02-10,0.285,0.36,0.2759,0.3065,21550350.98,ONGUSDT
2021-02-11,0.3057,0.368,0.29100000000000004,0.3457,20442757.67,ONGUSDT
2021-02-12,0.3445,0.3569,0.3115,0.3456,11171770.25,ONGUSDT
2021-02-13,0.3467,0.438,0.3435,0.3969,21787938.81,ONGUSDT
2021-02-14,0.3969,0.41,0.3518,0.3657,7896379.41,ONGUSDT
2021-02-15,0.3671,0.3773,0.3101,0.344,8149570.94,ONGUSDT
2021-02-16,0.344,0.48,0.3301,0.424,34396994.03,ONGUSDT
2021-02-17,0.424,0.4356,0.3706,0.409,14734713.34,ONGUSDT
2021-02-18,0.4114,0.46,0.408,0.4426,10297658.41,ONGUSDT
2021-02-19,0.4431,0.4555,0.4103,0.451,7391019.63,ONGUSDT
2021-02-20,0.4487,0.4637,0.4202,0.4492,8002467.93,ONGUSDT
2021-02-21,0.45,1.1368,0.45,0.6419,156137748.83,ONGUSDT
2021-02-22,0.6418,0.6484,0.4563,0.5432,29398375.56,ONGUSDT
2021-02-23,0.5431,0.5741,0.3421,0.4466,23657524.67,ONGUSDT
2021-02-24,0.4443,0.6576,0.4341,0.5354,47632301.82,ONGUSDT
2021-02-25,0.535,0.62,0.49,0.4952,20225224.91,ONGUSDT
2021-02-26,0.4952,0.5532,0.4501,0.4866,10817230.58,ONGUSDT
2021-02-27,0.4833,0.5104,0.4653,0.4879,6075436.69,ONGUSDT
2021-02-28,0.4877,0.5447,0.41,0.5186,12797909.77,ONGUSDT
2021-03-01,0.5178,0.5393,0.4657,0.5286,7847674.48,ONGUSDT
2021-03-02,0.5289,0.53,0.4701,0.4999,5415770.92,ONGUSDT
2021-03-03,0.4986,0.535,0.4879,0.5203,5709189.58,ONGUSDT
2021-03-04,0.5183,0.59,0.5081,0.5541,10456416.71,ONGUSDT
2021-03-05,0.5545,0.7654,0.5103,0.6913,30719014.35,ONGUSDT
2021-03-06,0.6919,0.958,0.6856,0.7626,57112003.21,ONGUSDT
2021-03-07,0.7624,0.8141,0.713,0.7888,17638589.04,ONGUSDT
2021-03-08,0.7895,0.8092,0.7311,0.7665,7642322.19,ONGUSDT
2021-03-09,0.7677,0.77,0.7361,0.7679,5722446.79,ONGUSDT
2021-03-10,0.7679,0.7876,0.7123,0.763,4809537.62,ONGUSDT
2021-03-11,0.7641,0.8989,0.7141,0.7457,7020799.34,ONGUSDT
2021-03-12,0.7456,0.7639,0.7123,0.742,3444426.06,ONGUSDT
2021-03-13,0.7424,0.7765,0.7006,0.7699,5172147.93,ONGUSDT
2021-03-14,0.7732,0.8512,0.7223,0.7764,8643937.97,ONGUSDT
2021-03-15,0.7763,0.8293,0.6809999999999999,0.7364,8205467.74,ONGUSDT
2021-03-16,0.7364,0.7396,0.6653,0.722,4611500.48,ONGUSDT
2021-03-17,0.7219,0.8171,0.7001,0.7711,8440876.41,ONGUSDT
2021-03-18,0.7712,0.8023,0.74,0.7644,4371464.54,ONGUSDT
2021-03-19,0.768,0.89,0.7462,0.8133,8574725.7,ONGUSDT
2021-03-20,0.8146,0.8779,0.7609,0.7615,6356625.94,ONGUSDT
2021-03-21,0.7634,0.8,0.7206,0.7915,4435078.27,ONGUSDT
2021-03-22,0.7911,0.9758,0.77,0.7997,20554387.65,ONGUSDT
2021-03-23,0.7994,0.8934,0.7154,0.856,15885993.95,ONGUSDT
2021-03-24,0.8511,0.8555,0.7005,0.7352,6874560.0,ONGUSDT
2021-03-25,0.7349,0.7446,0.6573,0.6915,5657120.02,ONGUSDT
2021-03-26,0.6937,0.7531,0.6915,0.7518,3888867.09,ONGUSDT
2021-03-27,0.7509999999999999,0.993,0.7509999999999999,0.8921,25969034.78,ONGUSDT
2021-03-28,0.8944,0.97,0.8501,0.8781,9917378.81,ONGUSDT
2021-03-29,0.8791,0.9413,0.8455,0.937,5554805.22,ONGUSDT
2021-03-30,0.9364,1.072,0.9124,1.0083,9250193.03,ONGUSDT
2021-03-31,1.0083,1.04,0.9005,1.0245,7954072.57,ONGUSDT
2021-04-01,1.0244,1.095,0.9572,0.969,6475429.59,ONGUSDT
2021-04-02,0.9688,1.11,0.9327,1.0801,6864481.2,ONGUSDT
2021-04-03,1.0827,1.4982,1.064,1.1088,53821109.94,ONGUSDT
2021-04-04,1.11,1.27,1.0676,1.214,13707015.49,ONGUSDT
2021-04-05,1.214,1.2353,1.12,1.1686,7580227.93,ONGUSDT
2021-04-06,1.171,1.175,1.01,1.0994,6736401.67,ONGUSDT
2021-04-07,1.097,1.3613,0.8923,0.9606,20362164.07,ONGUSDT
2021-04-08,0.9613,1.1,0.9378,1.0825,10810364.21,ONGUSDT
2021-04-09,1.0833,1.3895,1.0455,1.1855,17781688.64,ONGUSDT
2021-04-10,1.1882,1.378,1.1489,1.2324,14016899.98,ONGUSDT
2021-04-11,1.2324,1.38,1.0972,1.2135,8105188.23,ONGUSDT
2021-04-12,1.2135,1.3259999999999998,1.1211,1.1638,12558895.31,ONGUSDT
2021-04-13,1.1638,1.2157,1.1,1.1615,5145208.21,ONGUSDT
2021-04-14,1.1614,1.1616,1.0301,1.1461,4485123.18,ONGUSDT
2021-04-15,1.1461,1.3334,1.1358,1.2549,8568333.54,ONGUSDT
2021-04-16,1.2549,1.44,1.1584,1.3563,15581402.16,ONGUSDT
2021-04-17,1.3616,1.3724,1.2585,1.3005,5089193.14,ONGUSDT
2021-04-18,1.3005,1.3614,1.0049,1.2961,7587330.39,ONGUSDT
2021-04-19,1.2943,1.325,1.0845,1.131,6970537.56,ONGUSDT
2021-04-20,1.1305,1.1842,0.9615,1.1021,5900017.83,ONGUSDT
2021-04-21,1.1023,1.1299,1.0282,1.0513,2779920.49,ONGUSDT
2021-04-22,1.0514,1.065,0.8320000000000001,0.8442,6927994.81,ONGUSDT
2021-04-23,0.8427,0.8469,0.6121,0.7958,13363937.99,ONGUSDT
