date,open,high,low,close,volume,name
2021-01-01,12.41,13.906,11.761,12.479,100247.502,PSGUSDT
2021-01-02,12.401,13.499,11.547,11.902,53325.864,PSGUSDT
2021-01-03,11.907,12.3,11.264,11.413,39472.45200000001,PSGUSDT
2021-01-04,11.483,11.577,9.7,10.37,56125.46,PSGUSDT
2021-01-05,10.45,11.0,9.6,10.231,41682.329,PSGUSDT
2021-01-06,10.239,10.85,9.522,9.933,40072.938,PSGUSDT
2021-01-07,9.933,10.621,8.635,9.799,76916.75200000001,PSGUSDT
2021-01-08,9.697,12.797,8.79,10.36,117441.099,PSGUSDT
2021-01-09,10.36,10.98,9.7,10.505,33337.027,PSGUSDT
2021-01-10,10.508,10.888,9.56,9.85,25789.595,PSGUSDT
2021-01-11,9.85,10.1,8.1,9.429,43398.665,PSGUSDT
2021-01-12,9.438,10.069,8.83,9.15,30918.755,PSGUSDT
2021-01-13,9.21,12.0,9.085,10.512,176947.272,PSGUSDT
2021-01-14,10.492,10.999,9.8,10.166,92677.228,PSGUSDT
2021-01-15,10.159,10.284,9.465,9.973,169141.822,PSGUSDT
2021-01-16,9.99,10.5,9.628,10.088,161456.424,PSGUSDT
2021-01-17,10.094,10.32,9.62,9.813,106529.374,PSGUSDT
2021-01-18,9.813,10.249,9.605,9.953,251583.963,PSGUSDT
2021-01-19,9.952,10.195,9.68,9.682,194529.461,PSGUSDT
2021-01-20,9.682,9.822,9.2,9.658,63653.825,PSGUSDT
2021-01-21,9.65,9.729,8.674,8.707,114573.767,PSGUSDT
2021-01-22,8.703,9.6,8.12,9.215,21018.905,PSGUSDT
2021-01-23,9.216,9.65,8.915,9.186,21444.346,PSGUSDT
2021-01-24,9.148,9.623,8.7,9.093,23898.368,PSGUSDT
2021-01-25,9.094,9.241,8.601,8.75,19322.439,PSGUSDT
2021-01-26,8.695,8.96,8.293,8.719,42151.251,PSGUSDT
2021-01-27,8.738999999999999,8.812000000000003,8.016,8.021,32160.451,PSGUSDT
2021-01-28,8.021,9.5,7.947,8.36,87035.627,PSGUSDT
2021-01-29,8.36,8.617,7.932,8.003,59720.707,PSGUSDT
2021-01-30,8.065,8.545,7.9289999999999985,8.189,49245.516,PSGUSDT
2021-01-31,8.131,11.445,7.782,7.977,226784.129,PSGUSDT
2021-02-01,8.051,8.226,7.688,8.169,93472.253,PSGUSDT
2021-02-02,8.169,8.498,7.78,8.066,61719.026,PSGUSDT
2021-02-03,8.066,8.142999999999999,7.854,8.016,61440.84099999999,PSGUSDT
2021-02-04,8.029,8.088,7.7,7.851,55006.41099999999,PSGUSDT
2021-02-05,7.817,8.7,7.803,8.171,100319.203,PSGUSDT
2021-02-06,8.171,11.289,7.9,8.51,374506.89,PSGUSDT
2021-02-07,8.507,8.847999999999997,8.19,8.3,102191.55,PSGUSDT
2021-02-08,8.263,8.781,8.262,8.577,108297.061,PSGUSDT
2021-02-09,8.552,9.468,8.468,8.994,181531.797,PSGUSDT
2021-02-10,8.994,10.444,8.41,8.996,279833.357,PSGUSDT
2021-02-11,9.015,11.316,8.971,9.87,372197.87,PSGUSDT
2021-02-12,9.869,11.0,9.68,10.995,282667.966,PSGUSDT
2021-02-13,10.999,14.8,10.729,12.22,608133.949,PSGUSDT
2021-02-14,12.297,12.8,9.5,11.27,218225.861,PSGUSDT
2021-02-15,11.336,11.428,9.72,10.474,125901.96,PSGUSDT
2021-02-16,10.425,11.748,10.135,11.062,146393.386,PSGUSDT
2021-02-17,11.038,11.86,10.470999999999998,11.092,113198.228,PSGUSDT
2021-02-18,11.181,12.55,10.913,11.994000000000002,231691.923,PSGUSDT
2021-02-19,11.993,13.5,11.941,12.642,228656.323,PSGUSDT
2021-02-20,12.642,12.863,10.75,11.267,166623.038,PSGUSDT
2021-02-21,11.267,12.6,10.817,11.903,138497.98,PSGUSDT
2021-02-22,11.903,11.999,8.52,10.788,152718.647,PSGUSDT
2021-02-23,10.788,11.299,8.229,9.36,130995.755,PSGUSDT
2021-02-24,9.361,10.977,8.814,9.745,108605.503,PSGUSDT
2021-02-25,9.8,10.531,9.56,9.603,66667.488,PSGUSDT
2021-02-26,9.62,9.718,8.919,9.129,67895.088,PSGUSDT
2021-02-27,9.15,9.792,9.138,9.354,63056.442,PSGUSDT
2021-02-28,9.372,11.3,8.441,9.092,362716.292,PSGUSDT
2021-03-01,9.096,10.15,9.096,9.986,115743.31,PSGUSDT
2021-03-02,9.999,10.58,9.02,9.612,111386.823,PSGUSDT
2021-03-03,9.612,10.546,9.6,10.114,73659.505,PSGUSDT
2021-03-04,10.128,10.382,9.33,9.582,116704.381,PSGUSDT
2021-03-05,9.576,10.051,8.59,9.411,94627.881,PSGUSDT
2021-03-06,9.429,10.058,9.307,9.907,93326.576,PSGUSDT
2021-03-07,9.907,10.685,9.903,10.146,125219.977,PSGUSDT
2021-03-08,10.145,10.396,9.9,10.2,99975.928,PSGUSDT
2021-03-09,10.2,11.581,10.139,11.35,262418.777,PSGUSDT
2021-03-10,11.351,25.567,10.862,17.322,3737069.895,PSGUSDT
2021-03-11,17.345,21.812,14.87,16.842,2700948.751,PSGUSDT
2021-03-12,16.927,23.243,16.192999999999998,19.836,1500963.895,PSGUSDT
2021-03-13,19.823,30.0,19.499,26.981,1955472.984,PSGUSDT
2021-03-14,26.98,27.318,22.927,22.983,712623.238,PSGUSDT
2021-03-15,22.981,24.538,20.6,20.747,424399.95,PSGUSDT
2021-03-16,20.762,23.99,19.27,21.884,489194.782,PSGUSDT
2021-03-17,21.913,24.0,20.829,21.727,403094.053,PSGUSDT
2021-03-18,21.732,23.26,21.241,21.746,235300.733,PSGUSDT
2021-03-19,21.713,23.35,21.182,22.085,214038.159,PSGUSDT
2021-03-20,22.061,22.524,20.409,20.453,196627.12,PSGUSDT
2021-03-21,20.451,23.5,19.804,20.062,352280.319,PSGUSDT
2021-03-22,20.059,20.83,18.6,19.278,170704.67,PSGUSDT
2021-03-23,19.245,21.029,18.5,19.022,365611.665,PSGUSDT
2021-03-24,19.004,20.293,17.7,17.855999999999995,208312.808,PSGUSDT
2021-03-25,17.857,21.149,16.929000000000002,18.157,531695.635,PSGUSDT
2021-03-26,18.158,19.966,18.133,18.786,221239.709,PSGUSDT
2021-03-27,18.745,19.341,17.9,18.731,181969.437,PSGUSDT
2021-03-28,18.735,19.889,18.406,18.786,174931.984,PSGUSDT
2021-03-29,18.743,19.5,18.388,19.043,166562.671,PSGUSDT
2021-03-30,19.019,19.446,18.306,18.545,179023.35100000005,PSGUSDT
2021-03-31,18.482,21.268,17.413,18.072,328185.187,PSGUSDT
2021-04-01,18.012999999999995,19.3,17.942999999999994,18.302,162012.106,PSGUSDT
2021-04-02,18.306,19.0,18.000999999999994,18.18,162578.333,PSGUSDT
2021-04-03,18.18,18.89,17.145,17.184,140717.99599999998,PSGUSDT
2021-04-04,17.166,18.3,17.03,17.983,114553.097,PSGUSDT
2021-04-05,17.919,18.18,17.172,17.604,107705.24,PSGUSDT
2021-04-06,17.602999999999994,28.7,17.523,23.02,1506046.995,PSGUSDT
2021-04-07,23.071,39.452,21.708,27.251,5694584.942000003,PSGUSDT
2021-04-08,27.105,29.857,23.214,25.001,1249772.39,PSGUSDT
2021-04-09,25.037,27.98,24.16,25.901,638050.861,PSGUSDT
2021-04-10,25.788,28.077,24.595,25.278,547880.579,PSGUSDT
2021-04-11,25.314,29.975,25.25,29.714,661485.81,PSGUSDT
2021-04-12,29.825,38.48,28.724,35.439,2436547.495,PSGUSDT
2021-04-13,35.378,47.27,31.623,31.82800000000001,4093958.975,PSGUSDT
2021-04-14,31.931,34.89,29.95,32.389,1214253.493,PSGUSDT
2021-04-15,32.39,34.173,30.0,31.635,599568.544,PSGUSDT
2021-04-16,31.631,31.983,28.3,29.659,553940.7829999999,PSGUSDT
2021-04-17,29.659,33.375,29.266,31.721,647482.157,PSGUSDT
2021-04-18,31.794,39.0,28.055,30.61,1826586.647,PSGUSDT
2021-04-19,30.609,31.899,30.165,31.1,603028.057,PSGUSDT
2021-04-20,31.09,37.84,30.5,34.426,1428152.1090000004,PSGUSDT
2021-04-21,34.419000000000004,38.666,34.028,35.293,1108654.166,PSGUSDT
2021-04-22,35.339,44.455,34.7,39.438,2122929.077,PSGUSDT
2021-04-23,39.437,43.0,34.55,38.753,1493978.6430000004,PSGUSDT
2021-04-24,38.788,41.98,38.25,40.412,774897.921,PSGUSDT
2021-04-25,40.534,51.932,40.461,48.31800000000001,2123699.362,PSGUSDT
2021-04-26,48.315,57.8,48.00100000000001,56.033,1393976.449,PSGUSDT
2021-04-27,56.00100000000001,59.0,49.923,53.118,1244023.106,PSGUSDT
2021-04-28,53.18600000000001,56.168,40.55,42.922,2588062.037,PSGUSDT
2021-04-29,42.989,47.3,41.949,44.893,1036258.907,PSGUSDT
2021-04-30,44.94300000000001,45.54,43.4,43.742,394460.047,PSGUSDT
2021-05-01,43.768,46.995,42.663,43.133,723249.3359999999,PSGUSDT
2021-05-02,42.983,44.4,41.94,43.896,391932.913,PSGUSDT
2021-05-03,43.896,44.2,39.376,39.892,539025.48,PSGUSDT
2021-05-04,39.892,41.82,32.671,32.761,1373751.396,PSGUSDT
2021-05-05,32.763000000000005,37.2,32.071,34.511,715941.594,PSGUSDT
2021-05-06,34.525,36.0,32.401,32.76,308263.405,PSGUSDT
2021-05-07,32.763000000000005,34.988,31.42,32.137,331080.308,PSGUSDT
2021-05-08,32.109,34.89,31.59,32.073,389046.959,PSGUSDT
2021-05-09,32.072,32.286,29.204,29.399,312230.777,PSGUSDT
2021-05-10,29.399,33.5,25.958,28.675,738061.911,PSGUSDT
2021-05-11,28.667,30.929,26.412,28.21,464993.236,PSGUSDT
2021-05-12,28.209,36.3,26.0,26.134,1328709.608,PSGUSDT
2021-05-13,26.188,35.0,26.154,27.346,1237616.512,PSGUSDT
2021-05-14,27.352,29.933000000000003,26.537,29.163,489322.415,PSGUSDT
2021-05-15,29.119,41.0,28.607,33.413000000000004,2657519.352,PSGUSDT
2021-05-16,33.413000000000004,39.479,31.025,32.356,2149483.821,PSGUSDT
2021-05-17,32.357,35.88,27.772,35.88,757302.8940000002,PSGUSDT
2021-05-18,35.825,44.95,35.2,43.021,1633230.21,PSGUSDT
2021-05-19,42.931,44.87600000000001,25.2,25.37,1452450.0380000004,PSGUSDT
2021-05-20,25.368,32.217,23.126,28.876,880191.0090000002,PSGUSDT
2021-05-21,28.971,39.8,27.5,36.715,1475734.465,PSGUSDT
2021-05-22,36.492,36.74800000000001,29.26,31.32,975822.446,PSGUSDT
2021-05-23,31.321,32.147,12.300999999999998,16.000999999999998,2104636.164,PSGUSDT
2021-05-24,16.014,20.0,14.681,17.559,1531847.395,PSGUSDT
2021-05-25,17.555,18.0,14.701,16.417,887803.3979999998,PSGUSDT
2021-05-26,16.51,17.593,15.759,16.846,603744.289,PSGUSDT
2021-05-27,16.819000000000006,23.0,15.401,19.644,1659709.791,PSGUSDT
2021-05-28,19.581,19.624,16.045,16.764,917302.223,PSGUSDT
2021-05-29,16.764,17.668,14.44,15.529000000000002,443072.83700000006,PSGUSDT
2021-05-30,15.527,16.89,14.681,16.016,288164.343,PSGUSDT
2021-05-31,15.981,16.878,15.130999999999998,16.553,318476.437,PSGUSDT
2021-06-01,16.555,17.0,15.531,15.849,221772.559,PSGUSDT
2021-06-02,15.849,16.86,15.718,15.993,243868.276,PSGUSDT
2021-06-03,16.005,17.95,15.809,16.596,494123.38,PSGUSDT
2021-06-04,16.604,16.998,14.89,15.475,449433.988,PSGUSDT
2021-06-05,15.483,16.277,15.0,15.364,288754.769,PSGUSDT
2021-06-06,15.354,15.722,15.19,15.492,111868.474,PSGUSDT
2021-06-07,15.473,16.077,13.848,13.961,262214.119,PSGUSDT
2021-06-08,13.992,14.405,12.556,14.01,274341.526,PSGUSDT
2021-06-09,14.018,14.593,13.321,14.533,200878.862,PSGUSDT
2021-06-10,14.544,16.942,13.867,16.148,453386.961,PSGUSDT
2021-06-11,16.13,18.482,15.02,15.183,1238032.21,PSGUSDT
2021-06-12,15.19,15.224,13.579,14.817,341880.76200000005,PSGUSDT
2021-06-13,14.855,15.263,14.133,15.03,198150.803,PSGUSDT
2021-06-14,15.042,15.7,14.851,15.189,240563.514,PSGUSDT
2021-06-15,15.175999999999998,15.94,14.829,15.242,289302.382,PSGUSDT
2021-06-16,15.231,15.499,14.589,14.825,187105.083,PSGUSDT
2021-06-17,14.822,16.0,14.727,15.193,274303.328,PSGUSDT
2021-06-18,15.193,15.48,13.87,14.34,162585.785,PSGUSDT
2021-06-19,14.339,15.5,14.028,14.583,194141.751,PSGUSDT
2021-06-20,14.563,14.957,13.55,14.374,146600.372,PSGUSDT
2021-06-21,14.374,14.443,11.643,11.74,252318.061,PSGUSDT
2021-06-22,11.716,12.436,10.784,11.666,263594.74100000004,PSGUSDT
2021-06-23,11.654000000000002,13.309,11.451,12.295,174353.35600000006,PSGUSDT
2021-06-24,12.285,12.941,12.081,12.308,136185.612,PSGUSDT
2021-06-25,12.316,12.627,11.441,11.938,127668.557,PSGUSDT
2021-06-26,11.939,12.194,11.0,11.816,158754.999,PSGUSDT
2021-06-27,11.806,12.097,11.528,12.061,111821.272,PSGUSDT
2021-06-28,12.083,12.433,11.829,12.039,113012.988,PSGUSDT
2021-06-29,12.039,12.630999999999998,11.969,12.397,114663.079,PSGUSDT
2021-06-30,12.398,12.669,11.909,12.532,93584.413,PSGUSDT
2021-07-01,12.532,15.31,12.088,13.349,617597.433,PSGUSDT
2021-07-02,13.329,14.898,12.889,13.185,525051.3670000001,PSGUSDT
2021-07-03,13.144,14.149,12.9,13.453,202726.135,PSGUSDT
2021-07-04,13.423,13.979,13.292,13.583,164459.146,PSGUSDT
2021-07-05,13.579,13.683,13.229,13.473,104531.741,PSGUSDT
2021-07-06,13.447,13.785,13.3,13.565,191308.142,PSGUSDT
2021-07-07,13.59,14.557,13.552,14.163,298470.233,PSGUSDT
2021-07-08,14.114,14.909,13.439,13.88,379251.947,PSGUSDT
2021-07-09,13.88,14.269,13.567,14.14,99132.577,PSGUSDT
2021-07-10,14.154000000000002,14.877,13.913,14.637,120550.243,PSGUSDT
2021-07-11,14.633,16.727,14.6,15.272,569627.0160000001,PSGUSDT
2021-07-12,15.26,16.442,15.002,16.245,265910.364,PSGUSDT
2021-07-13,16.214000000000002,18.59,16.016,17.982,505788.857,PSGUSDT
2021-07-14,17.982,19.3,17.11,19.124,377849.521,PSGUSDT
2021-07-15,19.124,19.572,17.258,17.976,253286.451,PSGUSDT
2021-07-16,18.04,18.98,17.3,17.86,151355.419,PSGUSDT
2021-07-17,17.817,18.055,16.646,17.104,131099.30800000002,PSGUSDT
2021-07-18,17.104,18.253,16.817,17.76,113518.211,PSGUSDT
