date,open,high,low,close,volume,name
2021-01-01,0.7315,0.7974,0.7219,0.7482,1169271.31,RLCUSDT
2021-01-02,0.748,0.7531,0.7031,0.713,1586327.43,RLCUSDT
2021-01-03,0.7141,0.8053,0.7121,0.794,2126753.21,RLCUSDT
2021-01-04,0.7923,0.88,0.715,0.8232,2674309.76,RLCUSDT
2021-01-05,0.8235,0.8941,0.7638,0.8518,2829695.16,RLCUSDT
2021-01-06,0.8537,1.0599,0.8228,1.0319,3985848.01,RLCUSDT
2021-01-07,1.0328,1.3668,1.0227,1.0929,6236202.24,RLCUSDT
2021-01-08,1.0929,1.32,0.9636,1.159,6308468.89,RLCUSDT
2021-01-09,1.1591,1.4521,1.1268,1.3357,4590211.35,RLCUSDT
2021-01-10,1.3356,1.3994,1.0523,1.1664,5300327.2,RLCUSDT
2021-01-11,1.1672,1.1712,0.8263,0.9554,7137670.65,RLCUSDT
2021-01-12,0.9568,1.0498,0.9,0.9391,2703333.09,RLCUSDT
2021-01-13,0.9354,1.0596,0.8834,1.0201,3099458.34,RLCUSDT
2021-01-14,1.0223,1.0853,0.9676,1.0393,2601217.12,RLCUSDT
2021-01-15,1.0403,1.149,0.97,1.0818,2950496.38,RLCUSDT
2021-01-16,1.0841,1.239,1.0564,1.1348,2611335.68,RLCUSDT
2021-01-17,1.1344,1.2423,1.0431,1.208,2442388.39,RLCUSDT
2021-01-18,1.2047,1.3,1.1205,1.2718,2861724.76,RLCUSDT
2021-01-19,1.2721,1.298,1.1246,1.128,2206218.65,RLCUSDT
2021-01-20,1.1309,1.372,1.0852,1.3530000000000002,6767569.05,RLCUSDT
2021-01-21,1.3532,1.4122,1.1033,1.1194,5600369.25,RLCUSDT
2021-01-22,1.1231,1.2377,1.0396,1.1846,2594700.27,RLCUSDT
2021-01-23,1.1837,1.3786,1.169,1.3289,3024844.54,RLCUSDT
2021-01-24,1.3295,1.3679,1.2515,1.2946,1782484.72,RLCUSDT
2021-01-25,1.2946,1.5294,1.2935,1.3605,3752013.7,RLCUSDT
2021-01-26,1.3583,1.4618,1.2801,1.3430000000000002,3167030.74,RLCUSDT
2021-01-27,1.3426,1.3453,1.122,1.1562,3538976.51,RLCUSDT
2021-01-28,1.1562,1.2947,1.1256,1.1785,3071280.78,RLCUSDT
2021-01-29,1.1772,1.28,1.15,1.1952,2669435.22,RLCUSDT
2021-01-30,1.1941,1.28,1.1423,1.2678,2711013.97,RLCUSDT
2021-01-31,1.2678,1.3512,1.166,1.1915,2690465.48,RLCUSDT
2021-02-01,1.1931,1.3027,1.156,1.253,2461463.04,RLCUSDT
2021-02-02,1.2517,1.3726,1.2156,1.2982,3898436.27,RLCUSDT
2021-02-03,1.3001,1.3989,1.2682,1.359,2197109.73,RLCUSDT
2021-02-04,1.3615,1.5112,1.291,1.4616,5242081.42,RLCUSDT
2021-02-05,1.4568,1.5887,1.4125,1.556,6011526.63,RLCUSDT
2021-02-06,1.5576,1.6749,1.46,1.4874,6451330.31,RLCUSDT
2021-02-07,1.4887,1.5743,1.3701,1.4772,4086757.02,RLCUSDT
2021-02-08,1.4802,1.63,1.4343,1.5397,3621698.08,RLCUSDT
2021-02-09,1.5396,1.75,1.499,1.6894,4603059.77,RLCUSDT
2021-02-10,1.6893,1.899,1.57,1.8005,8967860.21,RLCUSDT
2021-02-11,1.8022,1.95,1.7439,1.8499,4325879.66,RLCUSDT
2021-02-12,1.8493,2.14,1.7502,2.0182,5870674.06,RLCUSDT
2021-02-13,2.0182,2.2728,1.8382,2.227,5386842.39,RLCUSDT
2021-02-14,2.2263,2.5972,2.0568,2.2991,8855049.12,RLCUSDT
2021-02-15,2.3065,2.5052,1.95,2.0781,6681240.58,RLCUSDT
2021-02-16,2.0867,2.18,1.887,1.9742,4591343.83,RLCUSDT
2021-02-17,1.9771,2.2255,1.7609,2.1131,6007196.13,RLCUSDT
2021-02-18,2.1198,2.27,2.0853,2.1233,3981702.39,RLCUSDT
2021-02-19,2.1233,2.2982,1.9882,2.143,4188642.14,RLCUSDT
