date,open,high,low,close,volume,name
2021-01-01,0.396,0.4457,0.3949,0.4272,11214474.39,STXUSDT
2021-01-02,0.4293,0.4894,0.4261,0.4573,21710037.66,STXUSDT
2021-01-03,0.4568,0.53,0.4544,0.4818,16250899.65,STXUSDT
2021-01-04,0.4834,0.51,0.4208,0.491,15712589.27,STXUSDT
2021-01-05,0.4935,0.5439,0.4533,0.5214,10234752.55,STXUSDT
2021-01-06,0.5223,0.5481,0.486,0.5241,10994152.96,STXUSDT
2021-01-07,0.5217,0.5685,0.5,0.5426,8048651.81,STXUSDT
2021-01-08,0.5426,0.5446,0.4571,0.4941,9200223.72,STXUSDT
2021-01-09,0.4942,0.525,0.485,0.4983,6438495.15,STXUSDT
2021-01-10,0.4994,0.5299,0.44,0.4735,9558231.1,STXUSDT
2021-01-11,0.4722,0.4969,0.3867,0.4951,18272366.48,STXUSDT
2021-01-12,0.4951,0.5363,0.4508,0.4825,13839234.7,STXUSDT
2021-01-13,0.4844,0.5733,0.463,0.5572,12470500.19,STXUSDT
2021-01-14,0.5573,0.598,0.4874,0.508,15920066.63,STXUSDT
2021-01-15,0.5075,0.522,0.4437,0.4887,13790874.33,STXUSDT
2021-01-16,0.4876,0.51,0.4664,0.4766,7592606.12,STXUSDT
2021-01-17,0.4766,0.525,0.4582,0.4897,8081284.58,STXUSDT
2021-01-18,0.4896,0.508,0.4756,0.4798,5191253.11,STXUSDT
2021-01-19,0.4799,0.5426,0.4639,0.5046,13787893.56,STXUSDT
2021-01-20,0.5037,0.517,0.4752,0.4926,7614641.48,STXUSDT
2021-01-21,0.4924,0.504,0.44,0.4529,10519569.43,STXUSDT
2021-01-22,0.453,0.495,0.4328,0.4765,5528809.61,STXUSDT
2021-01-23,0.4779,0.494,0.4742,0.4847,4055408.73,STXUSDT
2021-01-24,0.4844,0.5091,0.4812,0.4951,8644576.46,STXUSDT
2021-01-25,0.4953,0.5027,0.4651,0.4663,6345319.14,STXUSDT
2021-01-26,0.4691,0.476,0.4562,0.4708,4051296.95,STXUSDT
2021-01-27,0.4721,0.4753,0.4201,0.426,4870240.58,STXUSDT
2021-01-28,0.426,0.455,0.422,0.4419,4656955.0,STXUSDT
2021-01-29,0.4413,0.4622,0.4262,0.4408,8902943.34,STXUSDT
2021-01-30,0.4408,0.4537,0.4118,0.4287,11549532.27,STXUSDT
2021-01-31,0.4286,0.445,0.4127,0.4276,6436669.9,STXUSDT
2021-02-01,0.4286,0.45,0.4109,0.4439,10823254.89,STXUSDT
2021-02-02,0.4433,0.47,0.4361,0.4633,7468785.79,STXUSDT
2021-02-03,0.4616,0.4934,0.4562,0.4624,8685012.98,STXUSDT
2021-02-04,0.463,0.4678,0.431,0.4491,11515786.19,STXUSDT
2021-02-05,0.449,0.475,0.4425,0.466,11817670.72,STXUSDT
2021-02-06,0.466,0.4697,0.4424,0.4459,11528572.37,STXUSDT
2021-02-07,0.4459,0.4855,0.4306,0.4689,16380590.73,STXUSDT
2021-02-08,0.4699,0.4907,0.4582,0.4802,13732455.12,STXUSDT
2021-02-09,0.482,0.7079,0.4731,0.5323,59510643.96,STXUSDT
2021-02-10,0.5323,0.5906,0.4941,0.5697,24950299.58,STXUSDT
2021-02-11,0.57,0.6666,0.542,0.645,26679386.57,STXUSDT
2021-02-12,0.6455,0.78,0.645,0.7285,26715778.19,STXUSDT
2021-02-13,0.7289,0.78,0.66,0.6971,12858137.09,STXUSDT
2021-02-14,0.6977,0.7437,0.6268,0.6689,11253504.57,STXUSDT
2021-02-15,0.6691,0.7495,0.5851,0.6905,13004254.12,STXUSDT
2021-02-16,0.6919,0.74,0.6487,0.6752,8253096.7,STXUSDT
2021-02-17,0.6748,0.728,0.6531,0.7158,9764631.29,STXUSDT
2021-02-18,0.7158,0.7989,0.71,0.7888,9152949.62,STXUSDT
2021-02-19,0.7892,0.8995,0.763,0.8367,13082723.85,STXUSDT
2021-02-20,0.8369,0.8551,0.7216,0.7675,11546615.29,STXUSDT
2021-02-21,0.7676,0.8375,0.7447,0.8149,8396118.09,STXUSDT
2021-02-22,0.816,0.8179,0.625,0.7836,12707848.24,STXUSDT
2021-02-23,0.7841,0.8533,0.6084,0.8481,20874899.9,STXUSDT
2021-02-24,0.8468,1.1996,0.7828,1.096,64823168.24,STXUSDT
2021-02-25,1.097,1.19,1.0,1.0332,20801622.38,STXUSDT
2021-02-26,1.0379,1.069,0.8876,1.0117,13451859.98,STXUSDT
2021-02-27,1.0111,1.1416,0.9717,1.0008,8923316.23,STXUSDT
2021-02-28,1.0028,1.0341,0.8745,0.9315,9627113.9,STXUSDT
2021-03-01,0.9316,1.0045,0.9257,0.9781,7551332.85,STXUSDT
2021-03-02,0.9785,1.0244,0.9222,1.0137,8505989.2,STXUSDT
2021-03-03,1.0137,1.1051,1.0016,1.0437,6900293.35,STXUSDT
