date,open,high,low,close,volume,name
2021-01-01,0.741,0.7709999999999999,0.675,0.7120000000000001,17088286.156,SXPUSDT
2021-01-02,0.7120000000000001,0.76,0.685,0.746,16530728.999000002,SXPUSDT
2021-01-03,0.747,0.8320000000000001,0.7290000000000001,0.772,57275490.264,SXPUSDT
2021-01-04,0.773,0.915,0.675,0.731,63690044.79300001,SXPUSDT
2021-01-05,0.732,0.7759999999999999,0.6920000000000001,0.758,28254693.931,SXPUSDT
2021-01-06,0.758,0.847,0.718,0.826,41055165.947,SXPUSDT
2021-01-07,0.825,0.941,0.762,0.872,58328757.63,SXPUSDT
2021-01-08,0.871,0.987,0.7759999999999999,0.984,67738412.628,SXPUSDT
2021-01-09,0.979,1.119,0.949,1.041,60666860.265,SXPUSDT
2021-01-10,1.042,1.182,0.888,1.012,58974332.365,SXPUSDT
2021-01-11,1.012,1.018,0.737,0.847,56195496.343,SXPUSDT
2021-01-12,0.846,0.897,0.7909999999999999,0.8109999999999999,28907440.347,SXPUSDT
2021-01-13,0.81,0.91,0.777,0.883,34830239.441,SXPUSDT
2021-01-14,0.885,0.908,0.84,0.8809999999999999,28244505.503,SXPUSDT
2021-01-15,0.88,0.997,0.809,0.904,48856196.82399999,SXPUSDT
2021-01-16,0.904,1.01,0.9,0.953,38250350.575,SXPUSDT
2021-01-17,0.954,1.048,0.894,1.029,40918729.616,SXPUSDT
2021-01-18,1.029,1.155,0.95,1.15,56933186.016,SXPUSDT
2021-01-19,1.149,1.159,0.974,1.007,48427082.461,SXPUSDT
2021-01-20,1.007,1.038,0.923,1.019,46550415.215,SXPUSDT
2021-01-21,1.018,1.024,0.821,0.8490000000000001,43522508.78,SXPUSDT
2021-01-22,0.848,0.942,0.802,0.889,35265778.221999995,SXPUSDT
2021-01-23,0.889,1.035,0.873,0.98,49497879.782,SXPUSDT
2021-01-24,0.98,1.047,0.965,0.991,32602974.30300001,SXPUSDT
2021-01-25,0.991,1.108,0.954,0.977,56571647.78600001,SXPUSDT
2021-01-26,0.978,1.054,0.942,1.028,46147656.172,SXPUSDT
2021-01-27,1.028,1.383,1.025,1.256,164586314.296,SXPUSDT
2021-01-28,1.257,1.369,1.2009999999999998,1.21,89829035.57,SXPUSDT
2021-01-29,1.21,1.33,1.1,1.235,84420362.605,SXPUSDT
2021-01-30,1.236,1.359,1.17,1.25,63553750.737,SXPUSDT
2021-01-31,1.251,1.4680000000000002,1.251,1.356,77268812.163,SXPUSDT
2021-02-01,1.356,1.4169999999999998,1.22,1.275,56975564.722,SXPUSDT
2021-02-02,1.275,1.393,1.203,1.32,53685108.02,SXPUSDT
2021-02-03,1.321,1.56,1.315,1.53,67525517.66,SXPUSDT
2021-02-04,1.53,1.865,1.3230000000000002,1.726,115470655.735,SXPUSDT
2021-02-05,1.726,1.941,1.6909999999999998,1.769,68896769.882,SXPUSDT
