date,open,high,low,close,volume,name
2021-01-01,0.6767,0.7088,0.653,0.675,3026311.42,TOMOUSDT
2021-01-02,0.6759999999999999,0.75,0.6427,0.7025,5778924.74,TOMOUSDT
2021-01-03,0.703,0.8651,0.703,0.8199,10916096.72,TOMOUSDT
2021-01-04,0.8202,1.0081,0.8011,0.9616,10776316.39,TOMOUSDT
2021-01-05,0.9644,1.05,0.9,0.9275,12973225.83,TOMOUSDT
2021-01-06,0.9278,1.0181,0.8801,0.9773,7297899.41,TOMOUSDT
2021-01-07,0.9775,1.0572,0.8947,0.9262,6060680.28,TOMOUSDT
2021-01-08,0.9262,1.15,0.81,1.146,11604690.8,TOMOUSDT
2021-01-09,1.146,1.297,1.1115,1.13,10574365.02,TOMOUSDT
2021-01-10,1.13,1.2339,0.99,1.1604,7046111.25,TOMOUSDT
2021-01-11,1.1573,1.2313,0.9759,1.2176,12010666.26,TOMOUSDT
2021-01-12,1.2197,1.3278,1.1104,1.1355,8763723.71,TOMOUSDT
2021-01-13,1.1336,1.25,1.0823,1.2259,5058913.84,TOMOUSDT
2021-01-14,1.2241,1.38,1.198,1.3324,5769343.86,TOMOUSDT
2021-01-15,1.331,1.399,1.1991,1.2875,5641164.81,TOMOUSDT
2021-01-16,1.2875,1.45,1.2751,1.357,5543454.91,TOMOUSDT
2021-01-17,1.3568,1.3903,1.2819999999999998,1.3281,4411507.85,TOMOUSDT
2021-01-18,1.3281,1.4091,1.2987,1.3746,3092168.12,TOMOUSDT
2021-01-19,1.3726,1.406,1.2617,1.2617,3589545.15,TOMOUSDT
2021-01-20,1.2617,1.3525,1.216,1.3431,5543772.17,TOMOUSDT
2021-01-21,1.3443,1.37,1.12,1.1393,4573746.16,TOMOUSDT
2021-01-22,1.1391,1.2799,1.0245,1.2131,3788478.92,TOMOUSDT
2021-01-23,1.2115,1.38,1.1929,1.296,4600192.86,TOMOUSDT
2021-01-24,1.296,1.3465,1.26,1.2978,2947982.69,TOMOUSDT
2021-01-25,1.2934,1.3423,1.23,1.2378,3305530.35,TOMOUSDT
2021-01-26,1.2344,1.2714,1.1312,1.2196,2669284.6,TOMOUSDT
2021-01-27,1.2179,1.3273,1.1632,1.1841,6197855.57,TOMOUSDT
2021-01-28,1.1833,1.2787,1.1456,1.2102,3458555.33,TOMOUSDT
2021-01-29,1.21,1.296,1.1523,1.2071,5070342.21,TOMOUSDT
2021-01-30,1.2071,1.3730000000000002,1.2037,1.3251,5950214.0,TOMOUSDT
2021-01-31,1.3268,1.358,1.22,1.2572,4251419.97,TOMOUSDT
2021-02-01,1.2576,1.3577,1.2035,1.335,3985958.96,TOMOUSDT
2021-02-02,1.3345,1.4227,1.2951,1.362,5776287.56,TOMOUSDT
2021-02-03,1.3621,1.5438,1.3401,1.484,7705192.56,TOMOUSDT
2021-02-04,1.4857,1.689,1.39,1.6118,8622036.3,TOMOUSDT
2021-02-05,1.61,1.89,1.61,1.8009,9857933.88,TOMOUSDT
2021-02-06,1.8013,1.8309,1.5202,1.6101,15307854.84,TOMOUSDT
2021-02-07,1.6115,1.7619999999999998,1.5114,1.6444,9747172.35,TOMOUSDT
2021-02-08,1.6444,1.7871,1.601,1.6766,6380938.17,TOMOUSDT
2021-02-09,1.6754,2.0780000000000003,1.6425,1.9727,10640848.4,TOMOUSDT
2021-02-10,1.9686,2.0172,1.6054,1.9391,12991807.6,TOMOUSDT
2021-02-11,1.94,2.0913,1.8429,1.9107,7650488.28,TOMOUSDT
2021-02-12,1.9189,2.28,1.9001,2.225,9995037.46,TOMOUSDT
2021-02-13,2.2298,2.47,1.9227,2.3882,14047130.17,TOMOUSDT
2021-02-14,2.3879,2.4296,1.9856,2.1533,13118233.6,TOMOUSDT
2021-02-15,2.153,2.2386,1.6886,1.9547,12322815.24,TOMOUSDT
2021-02-16,1.9546,2.1,1.8415,1.9161,11231517.08,TOMOUSDT
2021-02-17,1.9195,2.0601,1.7159,1.9839,15271759.41,TOMOUSDT
2021-02-18,1.9833,2.24,1.9735,2.1472,9126924.87,TOMOUSDT
2021-02-19,2.1527,2.19,1.9424,2.0885,5906654.91,TOMOUSDT
2021-02-20,2.0887,2.19,1.7817,1.9,8328518.34,TOMOUSDT
2021-02-21,1.9,2.0769,1.8462,1.9855,5411144.17,TOMOUSDT
2021-02-22,1.9857,2.18,1.44,2.0592,21414941.98,TOMOUSDT
2021-02-23,2.0585,2.3869,1.4459,2.3392,36900875.16,TOMOUSDT
2021-02-24,2.3266,2.6955,2.0162,2.1121,32595652.62,TOMOUSDT
2021-02-25,2.1161,2.41,1.8285,1.854,15145801.18,TOMOUSDT
2021-02-26,1.86,2.1111,1.7241,1.8787,13631749.9,TOMOUSDT
2021-02-27,1.8787,2.1659,1.7379,1.8171,8660483.67,TOMOUSDT
2021-02-28,1.8168,1.8228,1.5187,1.6999,9225759.76,TOMOUSDT
2021-03-01,1.6998,1.8472,1.682,1.791,6305614.21,TOMOUSDT
2021-03-02,1.7933,1.9388,1.6901,1.7818,9434257.46,TOMOUSDT
2021-03-03,1.7789,2.28,1.7514,2.0394,15898061.66,TOMOUSDT
2021-03-04,2.0394,2.1113,1.7498,1.885,12018118.57,TOMOUSDT
2021-03-05,1.8843,1.9321,1.7424,1.8641,6178382.64,TOMOUSDT
2021-03-06,1.8651,2.09,1.7713,2.0538,8880768.44,TOMOUSDT
2021-03-07,2.0540000000000003,2.98,2.0343,2.7727,59913262.58,TOMOUSDT
2021-03-08,2.7777,2.7822,2.3681,2.5532,20016657.15,TOMOUSDT
2021-03-09,2.5511,2.75,2.4599,2.5956,9021054.87,TOMOUSDT
2021-03-10,2.5933,2.8888,2.3846,2.6032,10452866.81,TOMOUSDT
2021-03-11,2.6005,2.7052,2.4301,2.4781,8186689.83,TOMOUSDT
2021-03-12,2.4775,2.5459,2.2030000000000003,2.2973,10374866.36,TOMOUSDT
2021-03-13,2.2973,2.4884,2.1532,2.3914,7050311.67,TOMOUSDT
2021-03-14,2.3933,2.715,2.201,2.5292,8949698.94,TOMOUSDT
2021-03-15,2.5243,2.75,2.2179,2.3054,11837716.4,TOMOUSDT
2021-03-16,2.3069,2.4881,2.0909,2.3901,7813260.52,TOMOUSDT
2021-03-17,2.3932,2.4434,2.2538,2.4,3927901.81,TOMOUSDT
2021-03-18,2.4009,2.6388,2.3497,2.4536,6686004.31,TOMOUSDT
2021-03-19,2.4545,2.5238,2.3623,2.4112,3709491.86,TOMOUSDT
2021-03-20,2.4114,2.6299,2.3946,2.4616,4622289.38,TOMOUSDT
2021-03-21,2.4612,2.95,2.4,2.8427,12126515.28,TOMOUSDT
2021-03-22,2.8438,3.07,2.488,2.52,10453713.82,TOMOUSDT
