date,open,high,low,close,volume,name
2021-01-01,17.762999999999995,19.062,17.287,17.737000000000005,134039.591,TRBUSDT
2021-01-02,17.739,18.147,16.826,17.862000000000005,114574.385,TRBUSDT
2021-01-03,17.873,20.44,17.244,19.903,205149.645,TRBUSDT
2021-01-04,19.936,22.046,17.572,19.397,308723.74600000004,TRBUSDT
2021-01-05,19.427,21.3,18.238,20.264,265612.05,TRBUSDT
2021-01-06,20.289,24.416,20.0,23.427,362318.283,TRBUSDT
2021-01-07,23.461,25.195,20.905,22.579,293882.734,TRBUSDT
2021-01-08,22.612,24.299,19.91,22.277,292904.23600000003,TRBUSDT
2021-01-09,22.217,27.0,21.587,23.79300000000001,317608.787,TRBUSDT
2021-01-10,23.852,25.833,21.3,22.654,282095.22,TRBUSDT
2021-01-11,22.71,22.75800000000001,17.023,19.565,354092.1320000001,TRBUSDT
2021-01-12,19.559,20.6,18.174,18.827,234090.169,TRBUSDT
2021-01-13,18.79,22.0,17.89,21.487,193160.288,TRBUSDT
2021-01-14,21.529,22.006,19.872,21.257,188422.163,TRBUSDT
2021-01-15,21.269,27.811,21.0,27.229,740315.104,TRBUSDT
2021-01-16,27.308000000000003,32.0,25.595,26.45,516904.879,TRBUSDT
2021-01-17,26.463,35.65,24.302,34.651,625538.056,TRBUSDT
2021-01-18,34.655,34.7,30.061,32.193000000000005,271087.433,TRBUSDT
2021-01-19,32.113,32.65,27.698,27.779,240261.54,TRBUSDT
2021-01-20,27.763,30.266,25.552,29.483,464143.118,TRBUSDT
2021-01-21,29.525,29.9,23.05,23.65,303474.652,TRBUSDT
2021-01-22,23.604,27.596,21.0,25.734,358089.605,TRBUSDT
2021-01-23,25.754,31.0,25.153,29.317,285035.275,TRBUSDT
2021-01-24,29.317,31.478,27.2,28.594,226665.056,TRBUSDT
2021-01-25,28.547,32.85,27.861,28.19,311702.631,TRBUSDT
2021-01-26,28.129,30.3,25.896,29.536,276068.168,TRBUSDT
2021-01-27,29.545,32.073,26.5,31.196,293246.84,TRBUSDT
2021-01-28,31.242,37.1,30.108,32.773,428019.883,TRBUSDT
2021-01-29,32.844,34.0,30.05,32.299,305036.509,TRBUSDT
2021-01-30,32.299,33.0,29.461,31.964,170391.905,TRBUSDT
2021-01-31,31.95,34.0,29.09,29.968000000000004,223151.018,TRBUSDT
2021-02-01,29.966,31.457,28.5,30.654,196322.501,TRBUSDT
2021-02-02,30.635,34.449,30.276,31.851,232500.186,TRBUSDT
2021-02-03,31.954,37.45,31.6,37.25,229604.662,TRBUSDT
2021-02-04,37.385,39.734,33.333,37.095,341236.925,TRBUSDT
2021-02-05,37.19300000000001,42.9,37.145,39.231,268335.673,TRBUSDT
2021-02-06,39.306,40.499,34.5,36.308,364311.495,TRBUSDT
2021-02-07,36.338,39.999,33.649,35.968,446126.286,TRBUSDT
2021-02-08,35.973,40.244,35.50199999999999,37.94,283040.63,TRBUSDT
2021-02-09,37.993,43.88,36.788,41.698,335633.453,TRBUSDT
2021-02-10,41.897,60.0,41.403,51.823,811958.599,TRBUSDT
2021-02-11,51.823,59.299,49.88,56.508,430939.79,TRBUSDT
2021-02-12,56.618,64.4,51.343,59.215,377490.808,TRBUSDT
2021-02-13,59.24800000000001,62.112,50.78,56.452,341458.119,TRBUSDT
2021-02-14,56.739,57.609,50.139,50.746,182246.849,TRBUSDT
2021-02-15,50.835,51.459,35.281,44.182,516393.26700000005,TRBUSDT
2021-02-16,44.182,51.617,41.912,45.24800000000001,446696.857,TRBUSDT
2021-02-17,45.238,50.9,40.378,49.646,426990.737,TRBUSDT
2021-02-18,49.647,52.06100000000001,47.99,50.378,201361.962,TRBUSDT
2021-02-19,50.26,54.89100000000001,46.394,54.0,260763.038,TRBUSDT
2021-02-20,53.99,56.255,43.077,47.74800000000001,338900.018,TRBUSDT
2021-02-21,47.804,49.92,46.27,47.619,191224.975,TRBUSDT
2021-02-22,47.6,48.236,32.51,40.645,456124.141,TRBUSDT
