date,open,high,low,close,volume,name
2021-01-01,0.9986,0.9986,0.997,0.9974,9851425.4,TUSDUSDT
2021-01-02,0.9974,1.0005,0.997,0.9989,20151032.0,TUSDUSDT
2021-01-03,0.9989,1.0006,0.997,0.9986,15841823.95,TUSDUSDT
2021-01-04,0.9986,1.0011,0.9902,0.9994,20088104.08,TUSDUSDT
2021-01-05,0.9994,1.001,0.996,0.997,19151675.22,TUSDUSDT
2021-01-06,0.997,0.9995,0.996,0.9976,19520922.16,TUSDUSDT
2021-01-07,0.9975,1.0014,0.996,0.9988,21377927.09,TUSDUSDT
2021-01-08,0.9988,1.0004,0.9969,0.9992,20084020.48,TUSDUSDT
2021-01-09,0.9991,1.001,0.996,0.9962,10168043.3,TUSDUSDT
2021-01-10,0.9962,1.0067,0.996,0.9997,20104322.84,TUSDUSDT
2021-01-11,0.9998,1.0089,0.9962,0.9993,28814247.14,TUSDUSDT
2021-01-12,0.9993,1.0024,0.9981,1.0005,14348648.24,TUSDUSDT
2021-01-13,1.0005,1.0032,0.9985,0.9998,12980123.71,TUSDUSDT
2021-01-14,0.9997,1.0035,0.9985,1.001,12515126.79,TUSDUSDT
2021-01-15,1.0009,1.0048,0.9990000000000001,0.9999,12980118.46,TUSDUSDT
2021-01-16,0.9999,1.0018,0.9978,1.0005,9589709.96,TUSDUSDT
2021-01-17,1.0005,1.0033,0.9993,1.0001,8267589.33,TUSDUSDT
2021-01-18,1.0001,1.001,0.9984,0.9996,6852809.62,TUSDUSDT
2021-01-19,0.9997,1.0041,0.9981,0.9996,12742129.4,TUSDUSDT
2021-01-20,0.9995,1.005,0.9985,0.9994,14780741.94,TUSDUSDT
2021-01-21,0.9994,1.004,0.9992,1.0006,16277102.13,TUSDUSDT
2021-01-22,1.0006,1.0019,0.9982,0.9991,15453878.11,TUSDUSDT
2021-01-23,0.9991,1.0001,0.9983,0.9993,7333304.35,TUSDUSDT
