date,open,high,low,close,volume,name
2021-01-01,0.9986,0.9986,0.9966,0.9974,67689287.68,USDCUSDT
2021-01-02,0.9974,1.0009,0.997,0.9989,151583426.94,USDCUSDT
2021-01-03,0.999,1.0011,0.9898,0.9992,190775978.18,USDCUSDT
2021-01-04,0.9991,1.0014,0.9891,0.9994,218607811.96,USDCUSDT
2021-01-05,0.9994,0.9998,0.9961,0.9969,130129098.97,USDCUSDT
2021-01-06,0.9969,0.9988,0.9957,0.9975,148865749.77,USDCUSDT
2021-01-07,0.9976,1.0015,0.996,0.9985,194454729.74,USDCUSDT
2021-01-08,0.9986,1.0004,0.9964,0.9991,169884641.15,USDCUSDT
2021-01-09,0.9992,1.0,0.9957,0.9966,105658435.53,USDCUSDT
2021-01-10,0.9967,1.0016,0.9965,0.9997,156238997.47,USDCUSDT
2021-01-11,0.9997,1.0073,0.999,0.9997,275239956.11,USDCUSDT
2021-01-12,0.9998,1.0042,0.9988,1.0006,144246739.82,USDCUSDT
2021-01-13,1.0006,1.0049,0.9995,0.9998,120187410.82,USDCUSDT
2021-01-14,0.9998,1.005,0.9993,1.0014,155488365.97,USDCUSDT
2021-01-15,1.0014,1.0071,0.9998,0.9999,159728532.17,USDCUSDT
2021-01-16,0.9999,1.0012,0.9981,1.0001,155753860.01,USDCUSDT
2021-01-17,1.0001,1.0071,0.9991,1.0004,112816004.87,USDCUSDT
2021-01-18,1.0003,1.001,0.9991,0.9996,108167446.24,USDCUSDT
2021-01-19,0.9996,1.0004,0.9978,0.9997,194157244.57,USDCUSDT
2021-01-20,0.9996,1.0004,0.9989,0.9995,130561792.83,USDCUSDT
2021-01-21,0.9994,1.0018,0.9993,1.0006,190471551.06,USDCUSDT
2021-01-22,1.0006,1.003,0.9969,0.9992,226512573.52,USDCUSDT
2021-01-23,0.9992,0.9996,0.9986,0.9993,74455323.49,USDCUSDT
2021-01-24,0.9994,0.9999,0.9987,0.999,89012143.83,USDCUSDT
2021-01-25,0.999,1.0006,0.9988,1.0,118475804.2,USDCUSDT
2021-01-26,0.9999,1.0004,0.9982,0.9991,127439210.39,USDCUSDT
2021-01-27,0.9991,1.0,0.9976,0.9982,111568356.27,USDCUSDT
2021-01-28,0.9982,0.9995,0.9973,0.9976,117915555.19,USDCUSDT
2021-01-29,0.9976,1.0003,0.9367,0.9995,234513414.89,USDCUSDT
2021-01-30,0.9994,1.0002,0.9967,0.9988,99186409.78,USDCUSDT
2021-01-31,0.9988,1.0,0.9987,0.9991,73539812.21,USDCUSDT
2021-02-01,0.9992,1.0004,0.9988,0.9998,98456054.65,USDCUSDT
2021-02-02,0.9998,1.001,0.999,0.9991,114568346.43,USDCUSDT
2021-02-03,0.9991,1.0005,0.9971,0.9989,173507531.2,USDCUSDT
2021-02-04,0.9988,0.9998,0.9979,0.999,154630140.96,USDCUSDT
2021-02-05,0.999,1.0001,0.998,0.9992,143009719.7,USDCUSDT
2021-02-06,0.9991,1.0002,0.9979,0.9985,126901316.2,USDCUSDT
2021-02-07,0.9985,0.9997,0.9982,0.9982,125420108.05,USDCUSDT
2021-02-08,0.9983,0.9997,0.9962,0.999,148170748.09,USDCUSDT
2021-02-09,0.999,0.9999,0.9967,0.9988,178768275.35,USDCUSDT
