date,open,high,low,close,volume,name
2021-01-01,0.1202,0.1258,0.1189,0.1231,3670602.44,UTKUSDT
2021-01-02,0.1226,0.1244,0.1142,0.1202,4629397.63,UTKUSDT
2021-01-03,0.1202,0.152,0.115,0.1462,13260463.56,UTKUSDT
2021-01-04,0.1467,0.188,0.1315,0.1773,12327445.6,UTKUSDT
2021-01-05,0.1773,0.215,0.1605,0.2026,18074401.19,UTKUSDT
2021-01-06,0.2034,0.2689,0.1803,0.2234,16662480.94,UTKUSDT
2021-01-07,0.2235,0.25,0.1985,0.2205,13176378.5,UTKUSDT
2021-01-08,0.2221,0.227,0.183,0.2,11474346.19,UTKUSDT
2021-01-09,0.2,0.2217,0.183,0.215,8305316.29,UTKUSDT
2021-01-10,0.2144,0.21600000000000005,0.1673,0.1881,8191723.97,UTKUSDT
2021-01-11,0.1892,0.1892,0.14400000000000002,0.1729,9444223.27,UTKUSDT
2021-01-12,0.1731,0.21600000000000005,0.16,0.1958,13360734.64,UTKUSDT
2021-01-13,0.1958,0.21600000000000005,0.181,0.2045,14193493.4,UTKUSDT
2021-01-14,0.2045,0.2077,0.188,0.1935,5192707.91,UTKUSDT
2021-01-15,0.1931,0.2131,0.1832,0.2089,7597332.19,UTKUSDT
2021-01-16,0.2089,0.2451,0.2089,0.2318,8663854.42,UTKUSDT
2021-01-17,0.2318,0.25,0.2041,0.2419,8478299.97,UTKUSDT
2021-01-18,0.2419,0.2423,0.2186,0.226,5878117.19,UTKUSDT
2021-01-19,0.2275,0.2398,0.2106,0.2139,5955575.6,UTKUSDT
2021-01-20,0.2139,0.223,0.1944,0.2164,6397213.16,UTKUSDT
2021-01-21,0.2164,0.22,0.1772,0.1857,5815200.18,UTKUSDT
2021-01-22,0.1857,0.2119,0.174,0.2028,4831656.27,UTKUSDT
2021-01-23,0.2027,0.214,0.195,0.2059,4380190.36,UTKUSDT
2021-01-24,0.2061,0.2288,0.2056,0.2209,4300648.86,UTKUSDT
2021-01-25,0.2199,0.2394,0.2139,0.2246,8261079.87,UTKUSDT
2021-01-26,0.2245,0.2472,0.1985,0.234,6291847.78,UTKUSDT
2021-01-27,0.2345,0.2437,0.204,0.2128,8289049.93,UTKUSDT
2021-01-28,0.214,0.265,0.205,0.2484,10485806.99,UTKUSDT
2021-01-29,0.2489,0.279,0.2254,0.2359,10421516.35,UTKUSDT
2021-01-30,0.2361,0.2786,0.226,0.2472,18290863.69,UTKUSDT
2021-01-31,0.2473,0.2808,0.2414,0.2479,9914533.86,UTKUSDT
2021-02-01,0.2475,0.2854,0.2367,0.2726,9655979.8,UTKUSDT
2021-02-02,0.2727,0.3098,0.2652,0.3047,9762390.96,UTKUSDT
2021-02-03,0.3042,0.33,0.2982,0.3045,9756952.24,UTKUSDT
2021-02-04,0.3047,0.3175,0.2881,0.3014,7652720.53,UTKUSDT
2021-02-05,0.3014,0.32,0.29,0.3109,7933244.66,UTKUSDT
2021-02-06,0.3109,0.3185,0.2733,0.2786,7568540.39,UTKUSDT
2021-02-07,0.279,0.2994,0.256,0.2905,8885602.89,UTKUSDT
2021-02-08,0.2898,0.3202,0.2796,0.3071,8695030.14,UTKUSDT
2021-02-09,0.3072,0.39,0.2941,0.3581,14660482.77,UTKUSDT
2021-02-10,0.3585,0.3614,0.302,0.3297,11392093.95,UTKUSDT
2021-02-11,0.3297,0.4749,0.3223,0.4320000000000001,34127604.37,UTKUSDT
2021-02-12,0.4291,0.57,0.4001,0.4753,63355040.41,UTKUSDT
2021-02-13,0.4755,0.5263,0.4511,0.4778,14838626.71,UTKUSDT
2021-02-14,0.4778,0.5051,0.4023,0.4868,33650265.58,UTKUSDT
2021-02-15,0.4858,0.5093,0.4024,0.4394,14313250.89,UTKUSDT
2021-02-16,0.4383,0.4743,0.415,0.4267,6122960.68,UTKUSDT
2021-02-17,0.4282,0.446,0.392,0.4216,8587014.88,UTKUSDT
2021-02-18,0.4231,0.5473,0.4158,0.5141,25192264.04,UTKUSDT
2021-02-19,0.5158,0.5176,0.4611,0.4672,9505272.74,UTKUSDT
2021-02-20,0.4676,0.4849,0.3925,0.4164,12703500.2,UTKUSDT
