date,open,high,low,close,volume,name
2021-01-01,6.1939,6.3617,5.8825,5.9795,2057953.8,WAVESUSDT
2021-01-02,5.9795,5.9802,5.4436,5.5873,2805520.85,WAVESUSDT
2021-01-03,5.5829,6.0739,5.0792,5.5581,4334320.66,WAVESUSDT
2021-01-04,5.5581,6.15,4.86,5.3943,3110352.59,WAVESUSDT
2021-01-05,5.3919,5.8416,5.1632,5.5768,2797294.25,WAVESUSDT
2021-01-06,5.5726,6.135,5.3523,5.84,3182507.29,WAVESUSDT
2021-01-07,5.8481,6.5778,5.5,5.9377,4017826.93,WAVESUSDT
2021-01-08,5.9314,5.9859,5.1721,5.6108,2656961.92,WAVESUSDT
2021-01-09,5.6149,6.27,5.4137,6.1818,2162083.17,WAVESUSDT
2021-01-10,6.1816,6.98,5.8699,6.5273,5124687.83,WAVESUSDT
2021-01-11,6.528,6.5447,4.9667,5.6184,3973971.93,WAVESUSDT
2021-01-12,5.6093,6.6016,5.4079,6.023,4415896.0,WAVESUSDT
2021-01-13,6.0189,6.5217,5.7859,6.3812,2161759.52,WAVESUSDT
2021-01-14,6.3828,6.898,5.8,6.4439,3233900.7,WAVESUSDT
2021-01-15,6.4438,6.8977,5.85,6.3539,3876814.5,WAVESUSDT
2021-01-16,6.3704,6.9479,6.206,6.6316,3044807.26,WAVESUSDT
2021-01-17,6.6316,8.19,6.274,7.3768,6267179.05,WAVESUSDT
2021-01-18,7.377999999999999,8.3039,7.3002,7.8384,3972627.18,WAVESUSDT
2021-01-19,7.8377,7.9304,7.07,7.0773,2321561.63,WAVESUSDT
2021-01-20,7.0748,7.3,6.4718,7.2094,2060258.55,WAVESUSDT
2021-01-21,7.2147,7.2428,5.9,5.9885,2031299.13,WAVESUSDT
2021-01-22,5.9761,6.64,5.4506,6.4028,1804100.88,WAVESUSDT
2021-01-23,6.392,6.888,6.3185,6.5923,1649390.61,WAVESUSDT
2021-01-24,6.5887,7.4489,6.5221,6.9833,3146784.18,WAVESUSDT
2021-01-25,6.9928,7.3234,6.652,6.6723,1867470.35,WAVESUSDT
2021-01-26,6.6722,6.9192,6.4110000000000005,6.8288,1181531.54,WAVESUSDT
2021-01-27,6.8288,6.8451,5.9501,6.0371,1129406.32,WAVESUSDT
2021-01-28,6.0269,6.54,5.9335,6.2836,1057445.51,WAVESUSDT
2021-01-29,6.2875,6.797999999999999,6.1565,6.5143,1619427.14,WAVESUSDT
2021-01-30,6.5011,6.9862,6.23,6.74,1554499.62,WAVESUSDT
2021-01-31,6.7428,7.0649,6.4327,6.5438,1613816.95,WAVESUSDT
2021-02-01,6.5438,7.231,6.39,7.0187,2324066.45,WAVESUSDT
2021-02-02,7.0116,7.1538,6.8406,6.9479,912107.8,WAVESUSDT
2021-02-03,6.9402,7.5716,6.8769,7.2973,1871331.69,WAVESUSDT
2021-02-04,7.2988,7.8,6.7029,7.2465,3131790.36,WAVESUSDT
2021-02-05,7.2444,8.95,7.175,8.8459,5716049.26,WAVESUSDT
2021-02-06,8.8599,8.9181,7.57,8.1914,2906061.13,WAVESUSDT
2021-02-07,8.2,8.3999,7.5889,8.0508,2232075.16,WAVESUSDT
2021-02-08,8.0414,8.5538,7.78,8.3875,2623777.95,WAVESUSDT
2021-02-09,8.389,11.38,8.259,9.7879,7468791.58,WAVESUSDT
2021-02-10,9.7878,10.72,8.918,9.6669,5801400.54,WAVESUSDT
2021-02-11,9.6515,11.2189,9.45,10.4596,3329357.88,WAVESUSDT
2021-02-12,10.4596,11.2718,9.9435,10.8509,1949873.48,WAVESUSDT
2021-02-13,10.863,11.74,10.3357,11.2315,2565543.88,WAVESUSDT
2021-02-14,11.2428,13.41,10.5715,11.8003,5362077.68,WAVESUSDT
2021-02-15,11.8242,12.4439,9.324,10.9669,3387982.94,WAVESUSDT
2021-02-16,10.968,11.5333,10.3131,11.0666,2106391.95,WAVESUSDT
2021-02-17,11.0668,11.6649,10.0356,11.4913,2184288.87,WAVESUSDT
2021-02-18,11.4827,14.2,11.3737,12.3607,3282700.95,WAVESUSDT
2021-02-19,12.3974,13.3841,11.8001,12.5462,2003862.6,WAVESUSDT
2021-02-20,12.5662,13.3464,11.574000000000002,12.2604,1897214.61,WAVESUSDT
2021-02-21,12.2509,12.9211,12.0231,12.3564,1238872.27,WAVESUSDT
2021-02-22,12.3706,12.3815,9.1165,10.615,2353876.97,WAVESUSDT
2021-02-23,10.6207,10.7012,7.7,9.3749,4015069.48,WAVESUSDT
2021-02-24,9.3746,10.8616,8.908999999999997,9.8336,1870321.11,WAVESUSDT
2021-02-25,9.8316,11.5,9.5221,9.6074,2073440.11,WAVESUSDT
2021-02-26,9.598,10.003,8.9457,9.5612,1239109.43,WAVESUSDT
2021-02-27,9.5646,10.06,9.332,9.5955,961586.84,WAVESUSDT
2021-02-28,9.6043,9.6504,8.3373,8.9026,935320.17,WAVESUSDT
2021-03-01,8.9047,9.6637,8.8404,9.5234,757032.07,WAVESUSDT
2021-03-02,9.5278,9.966,9.0723,9.4175,934463.1,WAVESUSDT
2021-03-03,9.412,10.1,9.3215,9.8182,1106651.02,WAVESUSDT
2021-03-04,9.8201,10.2231,9.1013,9.4472,879994.01,WAVESUSDT
2021-03-05,9.4472,10.5847,8.9583,9.9125,1924512.31,WAVESUSDT
2021-03-06,9.9222,10.3572,9.6463,9.9916,719054.64,WAVESUSDT
2021-03-07,9.9916,10.2336,9.8007,10.1471,586736.23,WAVESUSDT
2021-03-08,10.1326,10.208,9.714,10.0798,510932.66,WAVESUSDT
2021-03-09,10.0892,10.7811,9.9371,10.7134,1032874.82,WAVESUSDT
2021-03-10,10.7246,10.86,10.0053,10.2479,921455.06,WAVESUSDT
2021-03-11,10.2461,10.302,9.7625,10.0584,767632.12,WAVESUSDT
2021-03-12,10.0683,10.17,9.5018,9.873,680479.57,WAVESUSDT
2021-03-13,9.8632,10.2521,9.451,10.153,765470.32,WAVESUSDT
2021-03-14,10.1555,10.2153,9.697,9.7388,655998.13,WAVESUSDT
2021-03-15,9.7295,10.1,9.2514,9.5842,983445.74,WAVESUSDT
2021-03-16,9.5912,10.099,9.2107,9.8411,1218507.67,WAVESUSDT
2021-03-17,9.8334,10.2,9.6504,10.1243,898018.93,WAVESUSDT
2021-03-18,10.1243,10.8,10.0427,10.2454,1014492.34,WAVESUSDT
2021-03-19,10.2473,10.5754,10.0208,10.2076,704379.81,WAVESUSDT
2021-03-20,10.2076,10.6735,10.09,10.1674,886069.18,WAVESUSDT
2021-03-21,10.1673,10.2389,9.5852,9.95,730854.41,WAVESUSDT
2021-03-22,9.9476,10.95,9.7425,9.7854,1776532.38,WAVESUSDT
2021-03-23,9.7951,12.77,9.6888,11.1934,4627354.13,WAVESUSDT
2021-03-24,11.1897,13.6,10.67,10.836,6360044.52,WAVESUSDT
2021-03-25,10.8359,11.6318,10.1889,10.4376,2676135.89,WAVESUSDT
2021-03-26,10.445,13.2375,10.4251,12.2797,3856815.22,WAVESUSDT
2021-03-27,12.2916,12.4993,11.5,11.8802,1430652.82,WAVESUSDT
2021-03-28,11.8806,12.25,11.46,11.8043,899128.94,WAVESUSDT
2021-03-29,11.805,12.6159,11.6378,12.44,1642486.13,WAVESUSDT
2021-03-30,12.44,12.96,12.1956,12.3159,1647369.55,WAVESUSDT
2021-03-31,12.3169,12.3169,11.276,11.964,1143677.34,WAVESUSDT
2021-04-01,11.9677,12.2415,11.5267,11.8015,978701.35,WAVESUSDT
2021-04-02,11.8016,13.67,11.5936,13.0557,2385562.7,WAVESUSDT
2021-04-03,13.0712,13.1675,11.5446,11.5989,1108032.8,WAVESUSDT
2021-04-04,11.5977,12.3341,11.4,12.1824,629754.67,WAVESUSDT
2021-04-05,12.196,12.95,11.6711,12.7873,1504099.4,WAVESUSDT
2021-04-06,12.7746,13.58,12.05,13.3887,2180082.6,WAVESUSDT
2021-04-07,13.3907,14.3385,11.94,12.0935,3332632.86,WAVESUSDT
2021-04-08,12.0871,13.964,12.007,13.7169,1760954.43,WAVESUSDT
2021-04-09,13.7129,20.35,13.6027,16.7768,17305264.58,WAVESUSDT
2021-04-10,16.7767,18.1755,15.9637,16.3286,5104260.12,WAVESUSDT
2021-04-11,16.3343,16.4,15.2214,15.608,2477754.79,WAVESUSDT
2021-04-12,15.6113,16.0348,14.6965,15.1712,1551057.3,WAVESUSDT
2021-04-13,15.1713,16.15,15.1052,15.8069,1666753.72,WAVESUSDT
2021-04-14,15.8054,15.93,14.5302,15.2118,1369971.77,WAVESUSDT
2021-04-15,15.2119,17.1855,14.9152,15.9422,2910934.95,WAVESUSDT
2021-04-16,15.9625,17.0626,15.3041,16.4725,2579925.16,WAVESUSDT
