date,open,high,low,close,volume,name
2021-01-01,0.2748,0.2991,0.274,0.2838,883870.82,WTCUSDT
2021-01-02,0.2835,0.2915,0.2731,0.2803,828099.02,WTCUSDT
2021-01-03,0.2803,0.29,0.2712,0.2874,1274989.91,WTCUSDT
2021-01-04,0.2874,0.3086,0.27,0.2879,2018530.51,WTCUSDT
2021-01-05,0.2879,0.2974,0.2688,0.2866,1181337.07,WTCUSDT
2021-01-06,0.2876,0.3398,0.2824,0.3224,2869842.1,WTCUSDT
2021-01-07,0.3228,0.3999,0.3208,0.3563,5321887.54,WTCUSDT
2021-01-08,0.3568,0.366,0.314,0.3299,2593831.76,WTCUSDT
2021-01-09,0.3297,0.4,0.3277,0.3587,3272028.13,WTCUSDT
2021-01-10,0.3591,0.3999,0.3577,0.3935,4584546.33,WTCUSDT
2021-01-11,0.3928,0.3934,0.276,0.3194,2481021.16,WTCUSDT
2021-01-12,0.3192,0.3306,0.302,0.3123,1311059.92,WTCUSDT
2021-01-13,0.3125,0.3389,0.3022,0.3255,1189763.37,WTCUSDT
2021-01-14,0.3251,0.3332,0.315,0.3235,1478032.91,WTCUSDT
2021-01-15,0.3235,0.3379,0.2919,0.3332,1736753.15,WTCUSDT
2021-01-16,0.3341,0.3491,0.3215,0.3338,1722000.97,WTCUSDT
2021-01-17,0.3338,0.3607,0.31,0.3485,2277623.74,WTCUSDT
2021-01-18,0.3496,0.3859,0.345,0.3671,2239420.87,WTCUSDT
2021-01-19,0.3677,0.3779,0.343,0.3509,1642151.82,WTCUSDT
2021-01-20,0.3504,0.3996,0.3328,0.3739,7238534.68,WTCUSDT
2021-01-21,0.3734,0.3839,0.3367,0.3453,2569107.85,WTCUSDT
2021-01-22,0.3438,0.3751,0.3171,0.3491,1475124.22,WTCUSDT
2021-01-23,0.3504,0.37,0.343,0.3492,1430398.77,WTCUSDT
2021-01-24,0.3495,0.378,0.3481,0.3757,2131274.88,WTCUSDT
2021-01-25,0.3757,0.3974,0.3507,0.3565,2347106.88,WTCUSDT
2021-01-26,0.3565,0.3617,0.3371,0.3516,1434264.02,WTCUSDT
2021-01-27,0.3511,0.3517,0.3121,0.3255,1147625.44,WTCUSDT
2021-01-28,0.3255,0.3469,0.319,0.3349,1854761.18,WTCUSDT
2021-01-29,0.3349,0.3453,0.3201,0.3344,2663731.76,WTCUSDT
2021-01-30,0.334,0.3776,0.3232,0.3598,3231304.49,WTCUSDT
2021-01-31,0.3595,0.3719,0.3376,0.3569,2196470.94,WTCUSDT
2021-02-01,0.3563,0.3720000000000001,0.3502,0.3663,1723403.4,WTCUSDT
2021-02-02,0.3664,0.3785,0.3577,0.3693,1791489.51,WTCUSDT
2021-02-03,0.3689,0.4320000000000001,0.3648,0.4305,5781069.06,WTCUSDT
2021-02-04,0.4305,0.5034,0.3925,0.4406,6280201.56,WTCUSDT
2021-02-05,0.4409,0.5227,0.4375,0.469,5472005.22,WTCUSDT
2021-02-06,0.4686,0.49,0.4320000000000001,0.4548,3543706.08,WTCUSDT
2021-02-07,0.4547,0.4598,0.4202,0.4477,2120040.41,WTCUSDT
2021-02-08,0.4477,0.4886,0.4449,0.464,3383981.63,WTCUSDT
2021-02-09,0.4652,0.6897,0.45,0.6181,13554491.89,WTCUSDT
2021-02-10,0.6192,0.6654,0.5332,0.6014,8246097.17,WTCUSDT
2021-02-11,0.6019,0.75,0.5760000000000001,0.7203,6139733.12,WTCUSDT
2021-02-12,0.7225,1.1801,0.653,1.1357,11759668.5,WTCUSDT
2021-02-13,1.1356,1.8349,1.0562,1.49,96082568.18,WTCUSDT
2021-02-14,1.4899,1.598,1.2241,1.2902,20138628.91,WTCUSDT
2021-02-15,1.2873,1.352,0.98,1.1381,9755173.7,WTCUSDT
2021-02-16,1.1371,1.1677,1.0189,1.0746,3676112.8,WTCUSDT
2021-02-17,1.0741,1.2396,0.95,1.1236,6499197.33,WTCUSDT
2021-02-18,1.1236,1.2293,1.1054,1.1574,4115548.81,WTCUSDT
2021-02-19,1.1574,1.1779,1.1036,1.1311,3751809.22,WTCUSDT
2021-02-20,1.1311,1.2382,0.9903,1.0948,8818328.89,WTCUSDT
2021-02-21,1.0947,1.222,1.0741,1.1497,5742496.92,WTCUSDT
2021-02-22,1.1497,1.16,0.85,1.0436,5230368.71,WTCUSDT
2021-02-23,1.0509,1.0526,0.67,0.8428,4897078.98,WTCUSDT
2021-02-24,0.8429,1.0123,0.7831,0.9118,4558243.82,WTCUSDT
2021-02-25,0.9097,0.948,0.81,0.813,2889777.45,WTCUSDT
2021-02-26,0.8189,0.9999,0.79,0.9298,5512792.24,WTCUSDT
2021-02-27,0.9298,0.9442,0.8409,0.8807,2850810.81,WTCUSDT
2021-02-28,0.8783,0.888,0.7555,0.8109,2203750.64,WTCUSDT
2021-03-01,0.8126,1.0647,0.8098,0.963,31187771.74,WTCUSDT
2021-03-02,0.9636,1.0199,0.9089,0.9438,4286999.35,WTCUSDT
2021-03-03,0.9441,1.011,0.9234,0.991,3268293.75,WTCUSDT
2021-03-04,0.9909,1.0525,0.8975,0.9386,2996593.95,WTCUSDT
2021-03-05,0.9352,0.9894,0.8856,0.9835,2264608.15,WTCUSDT
2021-03-06,0.9846,1.03,0.9297,1.0286,2688540.04,WTCUSDT
2021-03-07,1.0285,1.0647,0.9806,0.9963,3617811.87,WTCUSDT
2021-03-08,0.9985,1.1771,0.9717,1.1017,5841381.59,WTCUSDT
2021-03-09,1.1049,1.1488,1.0809,1.124,4040511.04,WTCUSDT
2021-03-10,1.1241,1.1242,0.998,1.0344,3252063.74,WTCUSDT
2021-03-11,1.0329,1.6455,1.023,1.4428,17021052.76,WTCUSDT
2021-03-12,1.4427,1.615,1.1932,1.2461,16797082.86,WTCUSDT
2021-03-13,1.2461,1.39,1.1749,1.3185,7644011.33,WTCUSDT
2021-03-14,1.3219,1.36,1.2062,1.2067,4322809.81,WTCUSDT
2021-03-15,1.2096,1.3888,1.1173,1.3218,8789715.5,WTCUSDT
2021-03-16,1.3199,1.499,1.2414,1.4139,8646770.24,WTCUSDT
2021-03-17,1.4075,1.598,1.2849,1.527,5829565.05,WTCUSDT
2021-03-18,1.5271,1.845,1.4806,1.6705,19076771.14,WTCUSDT
2021-03-19,1.6719,1.75,1.54,1.555,7329977.11,WTCUSDT
2021-03-20,1.5517,1.6499,1.5124,1.5536,4964073.16,WTCUSDT
2021-03-21,1.5535,1.5861,1.42,1.4497,3253311.91,WTCUSDT
2021-03-22,1.4515,1.5439,1.3267,1.3568,3350733.23,WTCUSDT
2021-03-23,1.357,1.59,1.28,1.4445,5924759.03,WTCUSDT
2021-03-24,1.4431,1.6099,1.4155,1.4236,5695231.0,WTCUSDT
2021-03-25,1.4289,1.51,1.3378,1.3816,4379921.09,WTCUSDT
2021-03-26,1.3846,1.69,1.3725,1.6139,6853937.43,WTCUSDT
2021-03-27,1.6135,1.6388,1.4727,1.5590000000000002,4684538.98,WTCUSDT
2021-03-28,1.5579,1.7238,1.541,1.6596,7141443.67,WTCUSDT
2021-03-29,1.6547,2.184,1.602,1.9,19237653.34,WTCUSDT
2021-03-30,1.8963,2.14,1.8479,1.932,7808435.99,WTCUSDT
2021-03-31,1.9308,2.1688,1.89,1.9681,8959660.36,WTCUSDT
2021-04-01,1.9728,1.986,1.8276,1.8581,4267761.51,WTCUSDT
2021-04-02,1.8581,2.0081,1.7914,1.8769,5672302.94,WTCUSDT
2021-04-03,1.8736,1.908,1.6524,1.6619,5225126.92,WTCUSDT
2021-04-04,1.6622,1.9364,1.64,1.7989,6374624.06,WTCUSDT
2021-04-05,1.7997,2.3,1.7046,2.1213,12195381.42,WTCUSDT
2021-04-06,2.1215,2.9242,2.1,2.2115,29773620.51,WTCUSDT
2021-04-07,2.2129,2.4668,1.938,2.0706,10292370.4,WTCUSDT
2021-04-08,2.0706,2.378,2.0524,2.2576,6206927.49,WTCUSDT
2021-04-09,2.2531,2.2534,2.0812,2.1162,7199150.73,WTCUSDT
2021-04-10,2.1164,2.22,2.0351,2.1592,4008287.53,WTCUSDT
2021-04-11,2.1591,2.3117,2.1031,2.175,3497439.88,WTCUSDT
2021-04-12,2.1779,2.1956,1.97,2.0219,3058438.39,WTCUSDT
2021-04-13,2.0233,2.0712,1.9055,1.9858,3290241.2,WTCUSDT
2021-04-14,1.9852,2.0464,1.8512,1.9796,3490153.08,WTCUSDT
2021-04-15,1.9807,2.1776,1.95,2.1285,3756380.76,WTCUSDT
2021-04-16,2.1289,2.1428,1.88,1.9815,3570941.56,WTCUSDT
2021-04-17,1.9838,2.4336,1.9838,2.1146,8099397.95,WTCUSDT
2021-04-18,2.1131,2.1542,1.6502,1.8909,4259353.32,WTCUSDT
2021-04-19,1.8876,2.135,1.746,1.763,4483773.31,WTCUSDT
2021-04-20,1.7628,2.0179,1.5734,1.8244,4858937.67,WTCUSDT
2021-04-21,1.8243,1.8677,1.611,1.6304,3535791.92,WTCUSDT
2021-04-22,1.6293,1.7599,1.4,1.4303,5409565.79,WTCUSDT
2021-04-23,1.4302,1.4585,1.1199,1.3634,5562181.96,WTCUSDT
2021-04-24,1.3635,1.4214,1.2157,1.2284,3656075.34,WTCUSDT
2021-04-25,1.2296,1.44,1.1678,1.2952,5291992.92,WTCUSDT
2021-04-26,1.2963,1.51,1.2787,1.4748,4732537.22,WTCUSDT
2021-04-27,1.4748,1.6545,1.4339,1.6428,3676113.78,WTCUSDT
2021-04-28,1.6428,1.6844,1.45,1.5737,3050118.54,WTCUSDT
2021-04-29,1.5737,1.6748,1.4918,1.556,3349270.03,WTCUSDT
2021-04-30,1.556,1.8285,1.5319,1.7267,7848038.38,WTCUSDT
2021-05-01,1.7269,1.8,1.6425,1.7753,3776806.02,WTCUSDT
2021-05-02,1.7742,1.7907,1.6358,1.7315,4181032.16,WTCUSDT
2021-05-03,1.7287,1.9206,1.7239,1.7702,4932212.68,WTCUSDT
2021-05-04,1.774,1.7778,1.5152,1.5674,5088862.66,WTCUSDT
2021-05-05,1.5675,1.7423,1.538,1.7087,4378207.03,WTCUSDT
2021-05-06,1.7094,1.975,1.6211,1.8788,8174260.88,WTCUSDT
2021-05-07,1.8771,2.4159,1.8403,1.948,33155255.42,WTCUSDT
2021-05-08,1.948,2.32,1.8819,2.1434,16554256.27,WTCUSDT
2021-05-09,2.1418,2.2323,1.9319,1.9648,10476261.87,WTCUSDT
2021-05-10,1.9662,2.092,1.6611,1.7714,9299075.57,WTCUSDT
2021-05-11,1.769,1.9356,1.675,1.8622,6809366.32,WTCUSDT
2021-05-12,1.8651,2.1,1.6146,1.6332,10759152.6,WTCUSDT
2021-05-13,1.6297,1.7978,1.5138,1.6476,5014413.94,WTCUSDT
2021-05-14,1.6476,1.9848,1.6357,1.8785,8203712.65,WTCUSDT
2021-05-15,1.8796,1.909,1.6028,1.6239,6321836.36,WTCUSDT
2021-05-16,1.6279,1.7905,1.499,1.6398,7081872.37,WTCUSDT
2021-05-17,1.6398,1.6447,1.389,1.4438,6225898.7,WTCUSDT
2021-05-18,1.4472,1.5736,1.42,1.4554,4865947.4,WTCUSDT
2021-05-19,1.4592,1.485,0.76,0.9301,10552586.74,WTCUSDT
