date,open,high,low,close,volume,name
2021-01-01,0.2056,0.2461,0.2054,0.2217,61958039.3,XEMUSDT
2021-01-02,0.222,0.2225,0.199,0.2031,31598903.12,XEMUSDT
2021-01-03,0.2031,0.2198,0.1875,0.211,57749019.12,XEMUSDT
2021-01-04,0.211,0.223,0.18,0.2045,60160618.29,XEMUSDT
2021-01-05,0.2046,0.2154,0.1927,0.2048,35599786.43,XEMUSDT
2021-01-06,0.2048,0.294,0.198,0.2559,190437366.01,XEMUSDT
2021-01-07,0.2558,0.28,0.2358,0.2449,83147158.17,XEMUSDT
2021-01-08,0.2449,0.269,0.21600000000000005,0.231,76707924.75,XEMUSDT
2021-01-09,0.231,0.2479,0.2216,0.2389,41841046.84,XEMUSDT
2021-01-10,0.2389,0.2555,0.211,0.2333,52288383.99,XEMUSDT
2021-01-11,0.2332,0.2333,0.1881,0.2123,56478830.89,XEMUSDT
2021-01-12,0.212,0.2289,0.2022,0.2131,41015566.45,XEMUSDT
2021-01-13,0.2132,0.2314,0.2032,0.229,99767861.38,XEMUSDT
2021-01-14,0.2291,0.2333,0.2191,0.2275,85248615.49,XEMUSDT
2021-01-15,0.2275,0.2301,0.2042,0.2136,80272367.01,XEMUSDT
2021-01-16,0.2136,0.23,0.2098,0.2171,72612628.0,XEMUSDT
2021-01-17,0.2171,0.2339,0.2125,0.2233,68094431.85,XEMUSDT
2021-01-18,0.2232,0.242,0.2181,0.2359,69841121.68,XEMUSDT
2021-01-19,0.2359,0.259,0.2344,0.2471,109367500.23,XEMUSDT
2021-01-20,0.2468,0.2493,0.2181,0.2391,80123847.63,XEMUSDT
2021-01-21,0.239,0.2394,0.2075,0.2113,36244107.98,XEMUSDT
2021-01-22,0.2118,0.2247,0.1944,0.2162,35542859.69,XEMUSDT
2021-01-23,0.21600000000000005,0.23,0.2082,0.2155,25650646.4,XEMUSDT
2021-01-24,0.2155,0.2237,0.2099,0.2134,29359124.97,XEMUSDT
2021-01-25,0.2135,0.2287,0.2131,0.2212,34938060.1,XEMUSDT
2021-01-26,0.2212,0.2463,0.2193,0.246,85195387.65,XEMUSDT
2021-01-27,0.2461,0.2577,0.2207,0.2322,82814162.62,XEMUSDT
2021-01-28,0.2322,0.2403,0.226,0.2334,46523457.9,XEMUSDT
2021-01-29,0.2335,0.2498,0.2275,0.235,84220190.58,XEMUSDT
2021-01-30,0.235,0.2379,0.2205,0.232,49106684.03,XEMUSDT
2021-01-31,0.2322,0.2416,0.2263,0.2358,45345949.59,XEMUSDT
