date,open,high,low,close,volume,name
2021-01-01,1.841,2.47,1.774,2.224,14455356.65,XRPUPUSDT
2021-01-02,2.22,2.231,1.662,1.884,7192625.17,XRPUPUSDT
2021-01-03,1.885,2.219,1.76,1.955,7967863.08,XRPUPUSDT
2021-01-04,1.947,2.702,1.702,2.095,10500666.79,XRPUPUSDT
2021-01-05,2.097,2.2430000000000003,1.64,1.861,7357940.98,XRPUPUSDT
2021-01-06,1.868,2.97,1.776,2.379,12416842.29,XRPUPUSDT
2021-01-07,2.378,5.489,2.291,3.744,21245383.48,XRPUPUSDT
2021-01-08,3.759,4.499,2.471,3.445,13268877.55,XRPUPUSDT
2021-01-09,3.445,4.007,3.022,3.5210000000000004,7340371.75,XRPUPUSDT
2021-01-10,3.511,4.8,2.3080000000000003,3.1,12610229.36,XRPUPUSDT
2021-01-11,3.107,3.129,1.344,2.127,22122376.73,XRPUPUSDT
2021-01-12,2.137,2.523,1.968,2.216,7501687.39,XRPUPUSDT
2021-01-13,2.214,2.489,2.082,2.42,4287692.44,XRPUPUSDT
2021-01-14,2.419,2.469,2.041,2.254,5441302.64,XRPUPUSDT
2021-01-15,2.258,2.393,1.619,1.949,5383115.53,XRPUPUSDT
2021-01-16,1.948,2.24,1.845,1.924,3051393.94,XRPUPUSDT
2021-01-17,1.922,2.028,1.725,1.866,2456959.3,XRPUPUSDT
2021-01-18,1.871,2.077,1.77,2.0,3376127.26,XRPUPUSDT
2021-01-19,1.994,2.6860000000000004,1.97,2.123,7504802.27,XRPUPUSDT
2021-01-20,2.125,2.417,1.898,2.148,6340836.57,XRPUPUSDT
2021-01-21,2.14,2.34,1.602,1.711,8131766.84,XRPUPUSDT
2021-01-22,1.713,1.852,1.315,1.771,5860997.32,XRPUPUSDT
2021-01-23,1.77,1.929,1.672,1.755,2810134.63,XRPUPUSDT
2021-01-24,1.755,1.843,1.686,1.775,2513408.72,XRPUPUSDT
2021-01-25,1.775,1.951,1.672,1.6869999999999998,3825247.06,XRPUPUSDT
2021-01-26,1.6869999999999998,1.735,1.545,1.7,3476445.13,XRPUPUSDT
2021-01-27,1.693,1.699,1.35,1.436,3780861.23,XRPUPUSDT
2021-01-28,1.436,1.7180000000000002,1.386,1.6130000000000002,3087907.23,XRPUPUSDT
2021-01-29,1.617,2.3,1.557,1.86,11894862.97,XRPUPUSDT
2021-01-30,1.857,5.976,1.789,4.309,42496329.21,XRPUPUSDT
2021-01-31,4.289,5.5939999999999985,3.15,5.21,24458153.92,XRPUPUSDT
2021-02-01,5.21,10.563,2.665,2.819,48603896.21,XRPUPUSDT
2021-02-02,2.802,3.402,2.322,2.798,16506612.78,XRPUPUSDT
2021-02-03,2.798,3.387,2.792,3.117,10917902.13,XRPUPUSDT
2021-02-04,3.117,4.198,2.85,3.714,11015529.11,XRPUPUSDT
2021-02-05,3.714,4.084,3.417,3.79,7333804.27,XRPUPUSDT
2021-02-06,3.8,3.876,3.383,3.62,3494306.83,XRPUPUSDT
2021-02-07,3.64,3.75,2.86,3.249,6441153.86,XRPUPUSDT
2021-02-08,3.245,4.049,3.157,3.72,5282755.13,XRPUPUSDT
2021-02-09,3.714,4.2780000000000005,3.668,4.025,5922683.56,XRPUPUSDT
2021-02-10,4.024,4.925,3.54,4.394,11689124.71,XRPUPUSDT
2021-02-11,4.397,4.83,4.32,4.6960000000000015,4353603.77,XRPUPUSDT
2021-02-12,4.703,6.097,4.565,5.938,6830052.08,XRPUPUSDT
2021-02-13,5.938,6.46,4.807,6.261,5753013.18,XRPUPUSDT
2021-02-14,6.259,6.365,5.069,5.575,3423430.13,XRPUPUSDT
2021-02-15,5.586,5.76,4.127,4.855,3844845.17,XRPUPUSDT
2021-02-16,4.87,5.355,3.713,4.3439999999999985,4922494.79,XRPUPUSDT
2021-02-17,4.352,4.945,3.935,4.588,3417766.54,XRPUPUSDT
2021-02-18,4.5710000000000015,4.9689999999999985,4.288,4.455,2345336.04,XRPUPUSDT
2021-02-19,4.46,5.125,4.148,4.86,4107929.62,XRPUPUSDT
2021-02-20,4.852,5.0939999999999985,3.424,4.033,4419212.08,XRPUPUSDT
2021-02-21,4.015,4.659,3.875,4.461,3214172.71,XRPUPUSDT
2021-02-22,4.464,5.8039999999999985,4.055,4.73,12693517.97,XRPUPUSDT
2021-02-23,4.7360000000000015,4.7860000000000005,2.0,3.5410000000000004,13521835.19,XRPUPUSDT
2021-02-24,3.532,3.852,3.204,3.442,4384171.6,XRPUPUSDT
2021-02-25,3.438,3.615,2.794,2.946,3755912.74,XRPUPUSDT
2021-02-26,2.943,3.049,2.65,2.8310000000000004,3766643.04,XRPUPUSDT
2021-02-27,2.826,3.135,2.821,2.909,2779671.68,XRPUPUSDT
2021-02-28,2.907,2.935,2.51,2.718,2208275.61,XRPUPUSDT
2021-03-01,2.72,3.1010000000000004,2.6860000000000004,3.013,2343319.82,XRPUPUSDT
2021-03-02,3.008,3.102,2.775,2.906,1508774.62,XRPUPUSDT
2021-03-03,2.905,3.232,2.855,3.037,3049668.05,XRPUPUSDT
2021-03-04,3.035,3.472,2.904,3.341,4651351.64,XRPUPUSDT
2021-03-05,3.353,3.375,3.015,3.09,1624047.12,XRPUPUSDT
2021-03-06,3.09,3.252,3.032,3.162,1015354.6,XRPUPUSDT
2021-03-07,3.164,3.219,3.103,3.188,619704.79,XRPUPUSDT
2021-03-08,3.2,3.43,3.08,3.261,1579927.36,XRPUPUSDT
2021-03-09,3.261,3.391,3.242,3.358,1024576.26,XRPUPUSDT
2021-03-10,3.37,3.383,3.047,3.12,801496.05,XRPUPUSDT
2021-03-11,3.123,3.143,2.89,3.016,877258.37,XRPUPUSDT
2021-03-12,3.019,3.158,2.712,2.894,850187.03,XRPUPUSDT
2021-03-13,2.895,3.169,2.819,3.07,1059673.62,XRPUPUSDT
2021-03-14,3.07,3.109,2.853,2.861,696081.31,XRPUPUSDT
2021-03-15,2.859,2.948,2.696,2.8310000000000004,1022347.03,XRPUPUSDT
2021-03-16,2.829,3.63,2.738,3.055,4426964.7,XRPUPUSDT
2021-03-17,3.055,3.274,2.994,3.145,1132605.24,XRPUPUSDT
2021-03-18,3.152,3.35,3.1,3.122,1078500.93,XRPUPUSDT
2021-03-19,3.1210000000000004,3.179,3.02,3.099,549317.4,XRPUPUSDT
2021-03-20,3.087,3.85,3.074,3.63,3517048.84,XRPUPUSDT
2021-03-21,3.635,3.826,3.344,3.5580000000000003,2864344.69,XRPUPUSDT
2021-03-22,3.554,4.352,3.408,3.788,4819844.64,XRPUPUSDT
2021-03-23,3.781,4.31,3.717,3.85,3378040.98,XRPUPUSDT
2021-03-24,3.842,3.972,2.824,3.13,2363036.89,XRPUPUSDT
2021-03-25,3.125,3.588,2.8760000000000003,3.445,2762178.61,XRPUPUSDT
2021-03-26,3.442,4.128,3.442,3.984,1842584.09,XRPUPUSDT
2021-03-27,3.99,4.104,3.677,3.807,971001.18,XRPUPUSDT
2021-03-28,3.817,3.95,3.73,3.8,688419.86,XRPUPUSDT
2021-03-29,3.803,4.0680000000000005,3.771,3.996,912533.47,XRPUPUSDT
2021-03-30,3.996,4.23,3.923,3.95,1419806.97,XRPUPUSDT
2021-03-31,3.947,4.087,3.57,4.027,2115257.43,XRPUPUSDT
2021-04-01,4.02,4.3,3.754,4.003,2364952.41,XRPUPUSDT
2021-04-02,4.003,4.538,3.936,4.474,2503801.43,XRPUPUSDT
2021-04-03,4.482,4.961,3.929,4.038,3857873.42,XRPUPUSDT
2021-04-04,4.025,4.83,3.835,4.82,1837617.86,XRPUPUSDT
2021-04-05,4.813,9.99,4.59,9.49,13653681.15,XRPUPUSDT
2021-04-06,9.533,13.689,7.2,13.2,14687816.14,XRPUPUSDT
2021-04-07,13.194,13.479,7.8,9.075,9506683.56,XRPUPUSDT
2021-04-08,9.079,12.380999999999998,8.777999999999999,12.02,4823488.64,XRPUPUSDT
2021-04-09,12.028,12.578,10.35,11.113,3245114.31,XRPUPUSDT
2021-04-10,11.104,19.8,10.8,19.0,10427595.67,XRPUPUSDT
2021-04-11,19.168,22.0,17.422,18.453,6273416.61,XRPUPUSDT
2021-04-12,18.453,20.97,17.5,20.812,3367830.87,XRPUPUSDT
2021-04-13,20.845,29.5,19.7,27.571,5797445.88,XRPUPUSDT
2021-04-14,27.486,31.4,22.079,28.143,5149055.3,XRPUPUSDT
2021-04-15,28.109,29.266,23.904,25.986,2465899.64,XRPUPUSDT
2021-04-16,26.031,27.025,19.179,21.75800000000001,3902914.97,XRPUPUSDT
2021-04-17,21.756,25.499,21.076,21.342,2005092.9,XRPUPUSDT
2021-04-18,21.34,21.84,13.0,18.81,4600937.73,XRPUPUSDT
2021-04-19,18.836,21.2,15.422,16.762,3782118.69,XRPUPUSDT
2021-04-20,16.762999999999998,19.468,13.958,18.262,2492287.91,XRPUPUSDT
2021-04-21,18.304,19.882,15.879,16.265,2201513.99,XRPUPUSDT
2021-04-22,16.322,19.0,12.12,13.503,3020067.95,XRPUPUSDT
2021-04-23,13.51,14.419,7.938,13.541,7728058.12,XRPUPUSDT
2021-04-24,13.573,13.59,10.616,11.218,2503208.39,XRPUPUSDT
2021-04-25,11.246,13.198,9.234,10.901,2519479.48,XRPUPUSDT
2021-04-26,10.922,17.345,10.501,17.186,4760021.01,XRPUPUSDT
2021-04-27,17.1,19.182,16.387,17.9,4362840.08,XRPUPUSDT
2021-04-28,17.899,18.819000000000006,15.416,16.988,3133010.03,XRPUPUSDT
2021-04-29,16.993,18.5,16.348,17.73,2105796.78,XRPUPUSDT
2021-04-30,17.75,22.411,17.285,21.57,3112003.07,XRPUPUSDT
