date,open,high,low,close,volume,name
2021-01-01,2.0102,2.1267,1.97,2.0075,5966646.69,XTZUSDT
2021-01-02,2.0081,2.0574,1.9423,1.9992,6189025.2,XTZUSDT
2021-01-03,1.9989,2.25,1.9505,2.1345,10918873.35,XTZUSDT
2021-01-04,2.1346,2.3547,2.0024,2.3284,15524322.15,XTZUSDT
2021-01-05,2.329,2.4612,2.1265,2.377,13003346.01,XTZUSDT
2021-01-06,2.3761,2.7368,2.294,2.6476,14573954.91,XTZUSDT
2021-01-07,2.6475,2.8,2.4,2.5294,13163275.7,XTZUSDT
2021-01-08,2.5294,2.5727,2.2437,2.4547,10517100.29,XTZUSDT
2021-01-09,2.457,2.6886,2.4127,2.6357,9126527.91,XTZUSDT
2021-01-10,2.6357,2.9466,2.4,2.7621,18051322.96,XTZUSDT
2021-01-11,2.7626,2.77,2.101,2.3282,19220422.45,XTZUSDT
2021-01-12,2.3297,2.45,2.191,2.298,10849061.62,XTZUSDT
2021-01-13,2.2979,2.5048,2.2261,2.4999,8458642.61,XTZUSDT
2021-01-14,2.5026,2.62,2.4052,2.5528,9553460.42,XTZUSDT
2021-01-15,2.5535,2.9105,2.4557,2.7118,18692818.15,XTZUSDT
2021-01-16,2.7087,3.1838,2.6971,2.854,23966753.29,XTZUSDT
2021-01-17,2.8507,3.1182,2.6833,2.9714,14670894.46,XTZUSDT
2021-01-18,2.9716,3.1123,2.84,3.0331,10498147.01,XTZUSDT
2021-01-19,3.033,3.2263,2.8689,2.8745,13125598.74,XTZUSDT
2021-01-20,2.8745,2.9512,2.645,2.9099,10486052.32,XTZUSDT
2021-01-21,2.9099,2.9335,2.4243,2.4605,9577832.76,XTZUSDT
2021-01-22,2.4587,3.11,2.3,2.9089,21880992.61,XTZUSDT
2021-01-23,2.9081,3.399,2.823,3.1639,28152155.6,XTZUSDT
2021-01-24,3.1617,3.295,2.9039,3.0449,12848036.68,XTZUSDT
2021-01-25,3.0431,3.1832,2.9001,2.9188,9205883.54,XTZUSDT
2021-01-26,2.9186,3.0127,2.7502,2.9074,6943714.44,XTZUSDT
2021-01-27,2.9039,2.9389,2.6268,2.7931,8195049.36,XTZUSDT
2021-01-28,2.7904,3.0888,2.7151,2.9977,11454435.66,XTZUSDT
2021-01-29,2.9943,3.0692,2.793,2.9116,9938098.98,XTZUSDT
2021-01-30,2.9108,3.0193,2.8032,2.8991,8315267.83,XTZUSDT
2021-01-31,2.8991,2.9485,2.7310000000000003,2.8444,7745514.36,XTZUSDT
2021-02-01,2.844,2.9344,2.755,2.9248,7066178.49,XTZUSDT
2021-02-02,2.9237,2.96,2.8280000000000003,2.9092,6413113.6,XTZUSDT
2021-02-03,2.9093,3.1885,2.8849,3.0494,12521000.7,XTZUSDT
2021-02-04,3.0489,3.169,2.84,2.965,13965324.99,XTZUSDT
2021-02-05,2.965,3.5261,2.9507,3.4735,16649828.83,XTZUSDT
2021-02-06,3.4735,3.5154,3.0818,3.1731,12605575.9,XTZUSDT
2021-02-07,3.1729,3.4674,3.053,3.305,15460134.9,XTZUSDT
2021-02-08,3.3074,3.4417,3.233,3.4067,11138485.44,XTZUSDT
2021-02-09,3.4125,3.8747,3.1859,3.7607,22387687.55,XTZUSDT
2021-02-10,3.7614,3.897,3.4395,3.8469,17965513.56,XTZUSDT
2021-02-11,3.8468,4.3165,3.7874,4.1123,18455238.0,XTZUSDT
2021-02-12,4.115,5.4411,4.0021,5.0153,26932515.65,XTZUSDT
2021-02-13,5.0147,5.3781,4.5538,5.3684,21518349.83,XTZUSDT
2021-02-14,5.3684,5.6471,4.7126,4.8626,16097764.92,XTZUSDT
2021-02-15,4.8631,4.9633,3.837,4.5406,20579127.66,XTZUSDT
2021-02-16,4.5353,4.8928,4.3054,4.5448,13950657.23,XTZUSDT
2021-02-17,4.5452,4.7684,4.1828,4.606,12536073.46,XTZUSDT
2021-02-18,4.6028,4.998,4.5009,4.8436,13266538.18,XTZUSDT
2021-02-19,4.8448,5.1094,4.5675,4.9707,12114212.41,XTZUSDT
2021-02-20,4.9707,5.151,4.3210000000000015,4.6368,15895484.01,XTZUSDT
2021-02-21,4.6406,4.8051,4.5014,4.6759,11079322.5,XTZUSDT
2021-02-22,4.675,4.6856,3.6105,4.2752,21560444.64,XTZUSDT
2021-02-23,4.2759,4.2977,2.9013,3.5519,23622981.48,XTZUSDT
2021-02-24,3.5488,3.8989,3.3542,3.5324,16068518.85,XTZUSDT
2021-02-25,3.5341,3.8383,3.2847,3.3369,18442535.71,XTZUSDT
2021-02-26,3.3375,3.7992,3.1681,3.4692,16572951.45,XTZUSDT
2021-02-27,3.4693,3.8666,3.4625,3.6344,10346853.31,XTZUSDT
2021-02-28,3.6345,3.673,3.1867,3.4257,9958440.77,XTZUSDT
2021-03-01,3.4256,3.6887,3.3889,3.6336,6680178.96,XTZUSDT
2021-03-02,3.6336,3.8057,3.4852,3.6898,9486231.69,XTZUSDT
2021-03-03,3.6872,4.0,3.66,3.8434,10373092.73,XTZUSDT
2021-03-04,3.8435,3.9709,3.5593,3.6632,9116826.95,XTZUSDT
2021-03-05,3.6647,3.8605,3.4419,3.7621,8932358.25,XTZUSDT
2021-03-06,3.7631,4.0143,3.7117,3.872,6604972.14,XTZUSDT
2021-03-07,3.8732,4.2069,3.8218,4.1949,7924104.33,XTZUSDT
2021-03-08,4.1915,4.49,4.0527,4.4,11278119.96,XTZUSDT
2021-03-09,4.4004,4.5898,4.3314,4.4664,8132954.24,XTZUSDT
2021-03-10,4.4674,4.4805,4.0629,4.1439,7360693.19,XTZUSDT
2021-03-11,4.1402,4.1947,3.9433,4.122,5110514.18,XTZUSDT
