date,open,high,low,close,volume,name
2021-01-01,63.96,67.24,54.38,56.6,823695.5767600002,ZECUSDT
2021-01-02,56.6,59.9,55.2,57.46,468375.73952,ZECUSDT
2021-01-03,57.48,61.88,56.22,59.35,358158.13483,ZECUSDT
2021-01-04,59.35,65.0,56.62,60.34,497967.97236,ZECUSDT
2021-01-05,60.34,61.17,57.91,59.64,231711.56414,ZECUSDT
2021-01-06,59.63,65.35,58.95,63.92,402336.26763,ZECUSDT
2021-01-07,63.92,74.32,62.93,67.75,824291.97475,ZECUSDT
2021-01-08,67.77,70.08,61.14,68.59,536970.7375,ZECUSDT
2021-01-09,68.62,80.0,65.77,78.44,524335.05886,ZECUSDT
2021-01-10,78.44,98.67,75.7,96.37,2044328.41849,ZECUSDT
2021-01-11,96.45,108.97,77.59,88.24,2757618.58073,ZECUSDT
2021-01-12,88.13,105.51,84.28,99.72,1481569.6383,ZECUSDT
2021-01-13,99.73,120.69,92.47,117.35,1133276.73798,ZECUSDT
2021-01-14,117.33,118.89,105.9,111.71,609032.21864,ZECUSDT
2021-01-15,111.72,114.95,94.43,103.25,655505.87085,ZECUSDT
2021-01-16,103.25,113.88,101.67,108.08,517457.16198999994,ZECUSDT
2021-01-17,108.11,108.95,98.14,102.25,435650.58822,ZECUSDT
2021-01-18,102.15,106.44,100.1,103.98,348740.89628000004,ZECUSDT
2021-01-19,104.02,113.17,102.06,102.42,451971.85863000003,ZECUSDT
2021-01-20,102.43,103.99,90.57,98.99,505857.5331,ZECUSDT
2021-01-21,99.07,99.49,82.14,82.92,381246.69863,ZECUSDT
2021-01-22,82.99,91.64,76.13,86.94,364241.91111,ZECUSDT
2021-01-23,86.96,90.49,83.73,85.95,258752.02606,ZECUSDT
2021-01-24,85.96,92.38,84.96,90.0,307171.90955,ZECUSDT
2021-01-25,89.98,96.46,87.84,87.89,418978.31156,ZECUSDT
2021-01-26,87.88,90.35,83.74,89.26,366239.14486999996,ZECUSDT
2021-01-27,89.25,89.3,76.33,78.41,321826.12984,ZECUSDT
2021-01-28,78.42,88.85,77.02,86.82,334962.45970999997,ZECUSDT
2021-01-29,86.82,90.31,82.26,85.49,380792.36338,ZECUSDT
2021-01-30,85.5,86.32,82.8,84.51,171706.05362,ZECUSDT
2021-01-31,84.43,87.6,82.39,85.65,227293.07454,ZECUSDT
2021-02-01,85.58,89.64,84.07,88.69,267754.06669,ZECUSDT
2021-02-02,88.68,94.49,88.25,92.37,386477.6234,ZECUSDT
2021-02-03,92.38,96.9,92.38,95.23,198402.67455999998,ZECUSDT
2021-02-04,95.28,96.68,88.73,90.0,291109.11671,ZECUSDT
2021-02-05,89.98,96.67,89.19,96.44,304478.36032,ZECUSDT
2021-02-06,96.46,98.95,91.97,94.24,392300.42584,ZECUSDT
2021-02-07,94.25,95.6,88.75,92.3,280176.57914,ZECUSDT
2021-02-08,92.32,98.38,91.09,98.01,279810.88419,ZECUSDT
2021-02-09,98.03,110.12,97.24,108.77,532532.45679,ZECUSDT
2021-02-10,108.75,121.93,106.36,116.41,666241.87087,ZECUSDT
2021-02-11,116.43,150.0,113.12,142.34,929185.9671,ZECUSDT
2021-02-12,142.32,149.2,132.81,142.79,517683.32918,ZECUSDT
2021-02-13,142.79,190.64,142.71,176.11,1027568.07171,ZECUSDT
2021-02-14,176.1,179.79,152.7,156.33,626746.45834,ZECUSDT
2021-02-15,156.2,180.0,124.6,158.61,985558.7898700001,ZECUSDT
2021-02-16,158.78,168.17,148.39,155.68,546444.47056,ZECUSDT
2021-02-17,155.69,173.66,147.02,168.37,496646.43516999995,ZECUSDT
2021-02-18,168.36,179.5,157.4,169.25,464093.27098000003,ZECUSDT
2021-02-19,169.29,190.0,162.0,180.19,564027.8572399999,ZECUSDT
2021-02-20,180.2,185.33,155.88,164.09,533247.10915,ZECUSDT
2021-02-21,164.08,168.01,158.29,161.87,290902.33854,ZECUSDT
2021-02-22,161.84,162.91,120.91,144.39,669913.6560399999,ZECUSDT
2021-02-23,144.41,145.42,103.47,127.13,911371.88195,ZECUSDT
2021-02-24,127.12,135.3,122.07,130.96,536094.57543,ZECUSDT
2021-02-25,131.01,139.6,120.0,121.25,381626.76441999996,ZECUSDT
2021-02-26,121.27,125.05,113.41,118.23,393489.94968,ZECUSDT
2021-02-27,118.23,125.03,117.42,119.78,234470.20492,ZECUSDT
2021-02-28,119.77,120.38,104.35,111.31,324743.01275,ZECUSDT
2021-03-01,111.33,126.21,110.09,124.4,317470.70505,ZECUSDT
2021-03-02,124.42,126.8,116.38,120.51,301904.15135,ZECUSDT
2021-03-03,120.5,130.93,119.02,126.69,264703.71143,ZECUSDT
2021-03-04,126.72,129.9,117.55,122.03,213079.72684000002,ZECUSDT
2021-03-05,122.06,124.32,113.08,121.12,236863.09222,ZECUSDT
2021-03-06,121.19,126.93,118.22,125.19,150497.6945,ZECUSDT
2021-03-07,125.2,130.18,124.37,130.08,123295.99355999999,ZECUSDT
2021-03-08,130.08,132.8,124.36,129.55,137243.53170999998,ZECUSDT
2021-03-09,129.54,138.4,127.8,137.69,216384.09227,ZECUSDT
2021-03-10,137.76,142.09,131.13,139.82,207400.73613,ZECUSDT
2021-03-11,139.77,158.51,135.65,151.86,427246.37233000004,ZECUSDT
2021-03-12,151.88,156.61,141.78,145.36,242654.12709000002,ZECUSDT
2021-03-13,145.45,160.0,137.3,156.12,283737.32224,ZECUSDT
2021-03-14,156.15,158.2,143.13,143.18,175695.52773,ZECUSDT
2021-03-15,143.14,147.13,133.88,135.1,235868.32921,ZECUSDT
2021-03-16,135.19,140.38,130.05,139.41,147123.29501,ZECUSDT
2021-03-17,139.37,146.97,134.47,146.02,178928.53771,ZECUSDT
2021-03-18,146.03,150.88,141.82,142.97,150347.3533,ZECUSDT
2021-03-19,142.98,153.25,140.35,150.31,131723.47968,ZECUSDT
2021-03-20,150.23,161.2,149.29,155.03,242776.76381,ZECUSDT
2021-03-21,155.0,156.49,145.09,148.18,159080.43693,ZECUSDT
2021-03-22,148.18,149.7,139.5,139.53,149049.89057000002,ZECUSDT
2021-03-23,139.55,143.47,134.98,136.02,178625.55484,ZECUSDT
2021-03-24,136.02,141.71,125.51,127.67,178440.78474,ZECUSDT
2021-03-25,127.67,128.9,116.16,123.02,295639.2093,ZECUSDT
2021-03-26,123.04,133.55,123.0,133.46,175850.91775,ZECUSDT
2021-03-27,133.45,135.56,126.29,133.62,153349.67785,ZECUSDT
2021-03-28,133.61,145.06,129.93,144.87,315405.00626,ZECUSDT
2021-03-29,144.84,159.75,141.84,149.18,444715.86423,ZECUSDT
2021-03-30,149.13,156.99,145.68,154.6,314913.93614,ZECUSDT
2021-03-31,154.57,158.38,146.69,158.22,240328.98355,ZECUSDT
2021-04-01,158.16,167.0,152.71,165.53,348492.89011,ZECUSDT
2021-04-02,165.55,177.75,163.69,169.52,366357.54787,ZECUSDT
2021-04-03,169.5,179.58,163.38,171.61,349985.68447,ZECUSDT
2021-04-04,171.49,195.0,169.0,187.14,686296.1279,ZECUSDT
2021-04-05,187.13,200.31,182.85,197.13,437637.22933999996,ZECUSDT
2021-04-06,197.05,200.32,181.53,191.11,329114.01325,ZECUSDT
2021-04-07,191.17,194.23,162.34,171.26,395113.68963000004,ZECUSDT
