date,open,high,low,close,volume,name
2021-01-01,0.355,0.3749,0.3509,0.3744,7268120.79,ZRXUSDT
2021-01-02,0.3744,0.397,0.3574,0.3604,11500485.3,ZRXUSDT
2021-01-03,0.3603,0.3955,0.3573,0.3923,16373071.15,ZRXUSDT
2021-01-04,0.3923,0.419,0.3638,0.3948,18480258.05,ZRXUSDT
2021-01-05,0.3952,0.4544,0.3821,0.4447,24145023.3,ZRXUSDT
2021-01-06,0.4451,0.4961,0.4302,0.4618,29970909.37,ZRXUSDT
2021-01-07,0.4618,0.49,0.4268,0.4386,19206626.36,ZRXUSDT
2021-01-08,0.439,0.4602,0.4,0.44,15676597.15,ZRXUSDT
2021-01-09,0.44,0.62,0.4255,0.5405,59508132.51,ZRXUSDT
2021-01-10,0.5405,0.585,0.4585,0.5276,37124787.78,ZRXUSDT
2021-01-11,0.5281,0.529,0.3814,0.4365,23864269.78,ZRXUSDT
2021-01-12,0.4362,0.4607,0.41,0.4272,13274036.65,ZRXUSDT
2021-01-13,0.4281,0.541,0.4281,0.506,36645498.67,ZRXUSDT
2021-01-14,0.5053,0.5229,0.4804,0.504,14054084.47,ZRXUSDT
2021-01-15,0.5044,0.5588,0.4601,0.5154,26194999.6,ZRXUSDT
2021-01-16,0.5158,0.5657,0.5013,0.5272,20341060.61,ZRXUSDT
2021-01-17,0.5272,0.631,0.5106,0.5942,30790585.88,ZRXUSDT
2021-01-18,0.5942,0.629,0.565,0.5847,15531292.64,ZRXUSDT
2021-01-19,0.5847,0.5999,0.5385,0.5422,13356235.89,ZRXUSDT
2021-01-20,0.5413,0.5608,0.4979,0.5582,13527724.84,ZRXUSDT
2021-01-21,0.5583,0.5619,0.4579,0.465,12710695.42,ZRXUSDT
2021-01-22,0.4651,0.5353,0.4337,0.5106,12125769.93,ZRXUSDT
2021-01-23,0.51,0.5799,0.4973,0.562,12379528.58,ZRXUSDT
2021-01-24,0.562,0.5757,0.5226,0.5483,13347148.14,ZRXUSDT
2021-01-25,0.5482,0.5643,0.5134,0.5207,10213453.71,ZRXUSDT
2021-01-26,0.5208,0.5524,0.4957,0.5435,11360815.46,ZRXUSDT
2021-01-27,0.5433,0.6022,0.5098,0.5832,31509314.03,ZRXUSDT
2021-01-28,0.583,0.6778,0.5773,0.6086,37949997.5,ZRXUSDT
2021-01-29,0.6082,0.6222,0.5735,0.6009,23332853.37,ZRXUSDT
2021-01-30,0.6009,0.659,0.5763,0.6542,15405779.37,ZRXUSDT
2021-01-31,0.654,0.8,0.6276,0.7064,73429315.74,ZRXUSDT
2021-02-01,0.7064,0.7085,0.6426,0.6865,13732184.58,ZRXUSDT
2021-02-02,0.6865,0.6931,0.6581,0.6837,9078010.58,ZRXUSDT
2021-02-03,0.6836,0.77,0.6705,0.7658,14047805.88,ZRXUSDT
2021-02-04,0.7669,1.1653,0.7161,1.0351,96942843.12,ZRXUSDT
2021-02-05,1.0339,1.99,1.0011,1.5939,254227778.04,ZRXUSDT
2021-02-06,1.5915,1.6740000000000002,1.3443,1.4509,84263759.2,ZRXUSDT
2021-02-07,1.4498,1.5009,1.2561,1.4099,41181051.64,ZRXUSDT
2021-02-08,1.4104,1.666,1.4016,1.4689,53489021.31,ZRXUSDT
2021-02-09,1.4699,1.5852,1.4257,1.5111,34095902.39,ZRXUSDT
2021-02-10,1.5103,1.645,1.3613,1.4998,39147499.85,ZRXUSDT
2021-02-11,1.5003,1.8341,1.4587,1.7619,40933698.75,ZRXUSDT
2021-02-12,1.7682,2.036,1.7069999999999999,1.8037,44450505.19,ZRXUSDT
2021-02-13,1.8053,1.9308,1.6467,1.8912,21947386.03,ZRXUSDT
2021-02-14,1.8912,2.01,1.6739,1.7952,26077127.63,ZRXUSDT
2021-02-15,1.7919999999999998,1.8179,1.4102,1.6186,17803115.96,ZRXUSDT
2021-02-16,1.6194,1.7118,1.5007,1.5848,15202625.83,ZRXUSDT
2021-02-17,1.587,1.6023,1.419,1.5649,16671990.02,ZRXUSDT
2021-02-18,1.5658,1.6349,1.5153,1.6107,10799046.59,ZRXUSDT
2021-02-19,1.611,1.6368,1.5061,1.5594,10762910.48,ZRXUSDT
2021-02-20,1.56,1.6976,1.4531,1.5306,18977701.72,ZRXUSDT
2021-02-21,1.5286,1.755,1.4869999999999999,1.7232,16805545.23,ZRXUSDT
2021-02-22,1.7249,1.9218,1.2930000000000001,1.5630000000000002,45379777.16,ZRXUSDT
2021-02-23,1.5634,1.9199,1.192,1.5769,67043833.58,ZRXUSDT
2021-02-24,1.578,1.6695,1.421,1.5267,26215456.35,ZRXUSDT
2021-02-25,1.5268,1.5875,1.3744,1.3959,15949655.66,ZRXUSDT
2021-02-26,1.3957,1.4180000000000001,1.2429,1.3192,19680677.37,ZRXUSDT
2021-02-27,1.3192,1.399,1.29,1.3328,10966602.85,ZRXUSDT
2021-02-28,1.3329,1.3448,1.1324,1.2115,11376635.64,ZRXUSDT
2021-03-01,1.2097,1.3842,1.2011,1.3565,13881120.45,ZRXUSDT
2021-03-02,1.3577,1.4307,1.2812,1.3617,15922841.18,ZRXUSDT
2021-03-03,1.3614,1.5329,1.3362,1.4635,14632435.3,ZRXUSDT
2021-03-04,1.4643,1.4981,1.3535,1.3724,10866813.65,ZRXUSDT
2021-03-05,1.3728,1.3948,1.2885,1.3389,9025651.41,ZRXUSDT
2021-03-06,1.3419999999999999,1.4133,1.3148,1.3703,9052314.07,ZRXUSDT
2021-03-07,1.371,1.4288,1.3532,1.4204,11153661.18,ZRXUSDT
2021-03-08,1.4203,1.4747,1.3615,1.4198,12977119.94,ZRXUSDT
2021-03-09,1.4223,1.4757,1.3911,1.4757,10352388.71,ZRXUSDT
2021-03-10,1.4756,1.4869999999999999,1.3564,1.3933,11366344.07,ZRXUSDT
2021-03-11,1.3934,1.4062,1.3287,1.3743,7574937.67,ZRXUSDT
2021-03-12,1.3745,1.3911,1.2926,1.3396,8035823.95,ZRXUSDT
2021-03-13,1.3402,1.4218,1.2872,1.393,7467993.95,ZRXUSDT
2021-03-14,1.3936,1.4,1.2992,1.3247,7894992.89,ZRXUSDT
2021-03-15,1.3256,1.3745,1.255,1.3282,9741969.64,ZRXUSDT
2021-03-16,1.3285,1.4452,1.2774,1.43,11943855.45,ZRXUSDT
2021-03-17,1.4302,1.4478,1.3279,1.4469,12154265.58,ZRXUSDT
2021-03-18,1.4457,1.7469,1.416,1.5162,41067841.85,ZRXUSDT
2021-03-19,1.5147,1.6537,1.4494,1.5586,18435311.57,ZRXUSDT
2021-03-20,1.5586,1.6267,1.4871,1.5,12289897.15,ZRXUSDT
2021-03-21,1.5,1.525,1.4119,1.4580000000000002,10054452.94,ZRXUSDT
2021-03-22,1.4579,1.5719,1.3907,1.4169999999999998,12556416.96,ZRXUSDT
2021-03-23,1.4169999999999998,1.5322,1.35,1.4980000000000002,11288170.07,ZRXUSDT
2021-03-24,1.4948,1.61,1.3161,1.3704,17195639.09,ZRXUSDT
2021-03-25,1.37,1.3998,1.26,1.3095,15201150.76,ZRXUSDT
2021-03-26,1.3098,1.396,1.3086,1.3873,5101045.3,ZRXUSDT
2021-03-27,1.3881,1.4396,1.3501,1.4158,8788755.35,ZRXUSDT
2021-03-28,1.4164,1.4829,1.3842,1.4542,8900531.41,ZRXUSDT
2021-03-29,1.4537,1.6067,1.449,1.5948,13106332.17,ZRXUSDT
2021-03-30,1.5959,1.9238,1.5532,1.8486,33326991.89,ZRXUSDT
2021-03-31,1.8487,2.0061,1.7516,1.8818,33611130.73,ZRXUSDT
2021-04-01,1.8822,2.1001,1.8357,1.964,26468994.84,ZRXUSDT
2021-04-02,1.9626,2.0403,1.8783,1.9601,14034487.14,ZRXUSDT
2021-04-03,1.96,1.9622,1.7131,1.7262,13304012.09,ZRXUSDT
2021-04-04,1.7237,1.8673,1.6917,1.835,10913441.01,ZRXUSDT
2021-04-05,1.8349,1.8668,1.73,1.8058,10936559.83,ZRXUSDT
2021-04-06,1.8028,1.9441,1.7439,1.9261,15588054.59,ZRXUSDT
2021-04-07,1.9271,1.9471,1.5884,1.712,17661517.27,ZRXUSDT
2021-04-08,1.7129,1.8635,1.7029,1.8545,8453241.53,ZRXUSDT
2021-04-09,1.8536,2.379,1.8236,2.1552,45575092.95,ZRXUSDT
2021-04-10,2.1556,2.3741,2.0829,2.1747,31209412.48,ZRXUSDT
2021-04-11,2.1747,2.2608,2.0275,2.1306,15604626.7,ZRXUSDT
2021-04-12,2.1283,2.1876,2.0344,2.1328,10373838.51,ZRXUSDT
2021-04-13,2.1332,2.4,2.0884,2.2968,19375449.22,ZRXUSDT
2021-04-14,2.2968,2.351,2.0426,2.1585,15584195.18,ZRXUSDT
2021-04-15,2.1559,2.2428,2.1,2.1978,10014469.25,ZRXUSDT
2021-04-16,2.198,2.2141,1.9724,2.0744,12901496.37,ZRXUSDT
2021-04-17,2.0726,2.2067,2.0287,2.0355,9280081.97,ZRXUSDT
2021-04-18,2.035,2.0451,1.4455,1.7619999999999998,21115735.27,ZRXUSDT
2021-04-19,1.7619999999999998,1.8654,1.5668,1.5827,12086622.71,ZRXUSDT
2021-04-20,1.584,1.7638,1.4455,1.7029,15022136.14,ZRXUSDT
2021-04-21,1.7029,1.808,1.6238,1.636,12030663.46,ZRXUSDT
2021-04-22,1.6349,1.7898,1.4762,1.4909,16078401.62,ZRXUSDT
2021-04-23,1.4906,1.5453,1.2428,1.4752,21335019.57,ZRXUSDT
2021-04-24,1.4729,1.4735,1.3078,1.328,7699886.33,ZRXUSDT
2021-04-25,1.3271,1.4622,1.254,1.3408,6771987.69,ZRXUSDT
2021-04-26,1.3419999999999999,1.5474,1.3267,1.5226,8240948.5,ZRXUSDT
2021-04-27,1.5243,1.8837,1.5043,1.8259,18653549.56,ZRXUSDT
2021-04-28,1.8236,1.8542,1.6159999999999999,1.7083,13752537.4,ZRXUSDT
2021-04-29,1.7083,1.7643,1.5942,1.6732,8609095.32,ZRXUSDT
2021-04-30,1.6731,1.8172,1.6292,1.8027,10047336.53,ZRXUSDT
2021-05-01,1.8027,2.026,1.7652,1.9426,18845216.42,ZRXUSDT
2021-05-02,1.942,1.96,1.7755,1.8659999999999999,12939302.82,ZRXUSDT
2021-05-03,1.8659999999999999,1.97,1.8466,1.9001,9364661.17,ZRXUSDT
2021-05-04,1.9011,1.9031,1.6457,1.6773,11400827.15,ZRXUSDT
2021-05-05,1.6793,1.8926,1.6579,1.8811,10757428.28,ZRXUSDT
2021-05-06,1.8796,2.1078,1.83,2.0519,23599086.03,ZRXUSDT
2021-05-07,2.0547,2.226,1.9414,2.0107,27530715.68,ZRXUSDT
2021-05-08,2.0129,2.0657,1.91,1.9526,10421054.28,ZRXUSDT
2021-05-09,1.9546,1.9987,1.837,1.9563,8231278.57,ZRXUSDT
2021-05-10,1.9563,2.0238,1.6308,1.7365,13917241.64,ZRXUSDT
2021-05-11,1.74,1.8796,1.6626,1.8645,9114543.24,ZRXUSDT
2021-05-12,1.8623,2.055,1.6,1.6462,24507955.27,ZRXUSDT
2021-05-13,1.6429,1.7687,1.51,1.6112,19434397.62,ZRXUSDT
2021-05-14,1.6112,1.7668,1.5874,1.7027,8340065.45,ZRXUSDT
2021-05-15,1.7027,1.725,1.5330000000000001,1.5585,9182904.88,ZRXUSDT
2021-05-16,1.5537,1.7013,1.4733,1.5692,10013530.45,ZRXUSDT
2021-05-17,1.5672,1.5742,1.3917,1.4667,9952423.45,ZRXUSDT
2021-05-18,1.4684,1.7057,1.4464,1.5998,16098362.32,ZRXUSDT
2021-05-19,1.6,1.6396,0.7877,0.9923,30767697.07,ZRXUSDT
2021-05-20,0.9890000000000001,1.1956,0.8858,1.1564,27733650.86,ZRXUSDT
2021-05-21,1.1573,1.2225,0.8932,1.0341,20667482.71,ZRXUSDT
2021-05-22,1.0343,1.0509,0.8853,0.9585,13305411.88,ZRXUSDT
2021-05-23,0.9597,0.9871,0.623,0.7951,20249545.34,ZRXUSDT
2021-05-24,0.7956,0.9961,0.7794,0.9864,16328206.02,ZRXUSDT
2021-05-25,0.9865,1.0297,0.8844,0.9767,11197563.98,ZRXUSDT
2021-05-26,0.9766,1.1499,0.9653,1.1494,10511587.9,ZRXUSDT
2021-05-27,1.1489,1.1888,1.0225,1.103,9480113.55,ZRXUSDT
2021-05-28,1.1027,1.1243,0.9245,0.9645,12446846.66,ZRXUSDT
2021-05-29,0.9645,1.0089,0.8432,0.9005,7598696.29,ZRXUSDT
2021-05-30,0.9011,0.9909,0.8421,0.9363,5455327.86,ZRXUSDT
2021-05-31,0.9368,1.0231,0.8874,1.0201,5105168.09,ZRXUSDT
2021-06-01,1.0199,1.0536,0.9821,1.0262,4801789.25,ZRXUSDT
2021-06-02,1.0273,1.2547,1.0191,1.1463,28996297.81,ZRXUSDT
2021-06-03,1.1471,1.235,1.0932,1.1887,11323224.53,ZRXUSDT
2021-06-04,1.1886,1.1897,1.0174,1.0668,7259720.05,ZRXUSDT
2021-06-05,1.0685,1.1406,1.0084,1.04,4413601.15,ZRXUSDT
2021-06-06,1.04,1.0791,1.0296,1.0612,2500118.58,ZRXUSDT
2021-06-07,1.0623,1.0838,0.9436,0.953,4212811.57,ZRXUSDT
2021-06-08,0.953,0.9688,0.8298,0.9547,7819191.45,ZRXUSDT
2021-06-09,0.9534,0.9842,0.9226,0.9663,7618257.37,ZRXUSDT
2021-06-10,0.9663,0.9863,0.9109999999999999,0.9343,5369590.86,ZRXUSDT
2021-06-11,0.935,0.9511,0.8508,0.8635,3783051.55,ZRXUSDT
2021-06-12,0.8637,0.8935,0.8027,0.8523,5500971.21,ZRXUSDT
2021-06-13,0.8517,0.9007,0.8082,0.8951,7587906.45,ZRXUSDT
2021-06-14,0.8948,0.9342,0.8666,0.9105,5604236.85,ZRXUSDT
2021-06-15,0.9105,0.9590000000000001,0.8868,0.8936,4967463.96,ZRXUSDT
2021-06-16,0.8928,0.945,0.8562,0.8677,5194314.47,ZRXUSDT
2021-06-17,0.8672,0.9004,0.8507,0.8751,2801704.17,ZRXUSDT
2021-06-18,0.8765,0.8828,0.78,0.8169,4101516.91,ZRXUSDT
2021-06-19,0.8176,0.8312,0.7845,0.7885,2376056.38,ZRXUSDT
